,Modelo,DJF
0,ACCESS1-0,0.0662494
1,ACCESS1-3,1.22713
2,bcc-csm1-1,0.0847067
3,bcc-csm1-1-m,0.0769929
4,CanESM2,0.0845752
5,CCSM4,0.00613476
6,CMCC-CESM,0.363434
7,CMCC-CM,-0.0098838
8,CMCC-CMS,0.0200569
9,CNRM-CM5,0.07182
10,CSIRO-Mk3-6-0,0.0632595
11,EC-EARTH,0.419693
12,GFDL-CM3,0.0270982
13,GFDL-ESM2G,0.0346368
14,GFDL-ESM2M,-0.0472746
15,HadGEM2-CC,0.0531604
16,inmcm4,-0.0879074
17,IPSL-CM5A-LR,0.03858
18,IPSL-CM5A-MR,0.0584541
19,IPSL-CM5B-LR,0.0501236
20,MIROC5,0.634526
21,MIROC-ESM-CHEM,0.212842
22,MIROC-ESM,0.212842
23,MPI-ESM-LR,0.0056773
24,MPI-ESM-MR,0.109932
25,MRI-CGCM3,0.797584
26,NorESM1-M,-0.117997
