,Modelo,DJF
0,ACCESS1-0,0.112157
1,ACCESS1-3,-0.288475
2,bcc-csm1-1,0.0411927
3,bcc-csm1-1-m,0.0455466
4,CanESM2,0.170762
5,CCSM4,0.177177
6,CMCC-CESM,0.453443
7,CMCC-CM,0.19161
8,CMCC-CMS,0.235973
9,CNRM-CM5,0.175203
10,CSIRO-Mk3-6-0,0.103384
11,EC-EARTH,0.64494
12,GFDL-CM3,0.162408
13,GFDL-ESM2G,-0.0908975
14,GFDL-ESM2M,-0.190199
15,HadGEM2-CC,0.288743
16,inmcm4,0.166922
17,IPSL-CM5A-LR,-0.0457415
18,IPSL-CM5A-MR,-0.0529226
19,IPSL-CM5B-LR,0.170131
20,MIROC5,1.09669
21,MIROC-ESM-CHEM,0.149398
22,MIROC-ESM,0.149398
23,MPI-ESM-LR,0.298259
24,MPI-ESM-MR,0.201814
25,MRI-CGCM3,0.58578
26,NorESM1-M,0.109355
