,Modelo,JJA,SON,DJF
0,ACCESS1-0,8.23567,7.80363,7.61662
1,ACCESS1-3,7.84377,7.31381,7.34087
2,bcc-csm1-1,6.38167,6.39319,6.43584
3,bcc-csm1-1-m,6.6866,6.45547,6.16763
4,CanESM2,9.27603,9.26901,8.97893
5,CCSM4,6.21353,5.98401,6.06995
6,CMCC-CESM,8.8642,8.44853,8.41617
7,CMCC-CM,8.96706,8.86182,8.9332
8,CMCC-CMS,9.55191,9.37427,9.4413
9,CNRM-CM5,5.11865,5.30219,5.31259
10,CSIRO-Mk3-6,8.09932,7.5778,7.4519
11,EC-EARTH,7.13643,6.83023,6.63805
12,GFDL-CM3,9.46156,8.92499,8.70222
13,GFDL-ESM2G,6.23996,6.1981,5.87929
14,GFDL-ESM2M,6.24944,6.10323,5.81331
15,HadGEM2-CC,8.65536,8.42508,8.12729
16,inmcm4,4.67743,4.59052,4.57309
17,IPSL-CM5A-LR,9.47557,9.72185,9.65065
18,IPSL-CM5A-MR,9.82393,9.79008,9.63176
19,IPSL-CM5B-LR,6.90474,6.89124,6.62834
20,MIROC5,6.67314,6.32416,6.08012
21,MIROC-ESM-CHEM,9.32623,9.29832,9.30847
22,MIROC-ESM,8.83571,8.70549,8.72974
23,MPI-ESM-LR,8.53812,8.06079,8.15198
24,MPI-ESM-MR,8.10258,7.74702,7.87173
25,MRI-GCM3,6.07219,5.8071,6.01434
26,NorESM1-M,6.01642,5.57794,5.37959
