,coef,lat,lon
0,1.21491e-07,-87.8638,357.188
0,1.21752e-07,-87.8638,0
0,1.21792e-07,-87.8638,2.8125
0,1.23789e-07,-87.8638,5.625
0,1.25387e-07,-87.8638,8.4375
0,1.27176e-07,-87.8638,11.25
0,1.28952e-07,-87.8638,14.0625
0,1.28021e-07,-87.8638,16.875
0,1.29811e-07,-87.8638,19.6875
0,1.31982e-07,-87.8638,22.5
0,1.32898e-07,-87.8638,25.3125
0,1.33546e-07,-87.8638,28.125
0,1.34788e-07,-87.8638,30.9375
0,1.35989e-07,-87.8638,33.75
0,1.36251e-07,-87.8638,36.5625
0,1.40272e-07,-87.8638,39.375
0,1.43119e-07,-87.8638,42.1875
0,1.42582e-07,-87.8638,45
0,1.49583e-07,-87.8638,47.8125
0,1.56233e-07,-87.8638,50.625
0,1.62781e-07,-87.8638,53.4375
0,1.64231e-07,-87.8638,56.25
0,1.73973e-07,-87.8638,59.0625
0,1.85169e-07,-87.8638,61.875
0,1.99448e-07,-87.8638,64.6875
0,2.01467e-07,-87.8638,67.5
0,2.13925e-07,-87.8638,70.3125
0,2.23225e-07,-87.8638,73.125
0,2.30663e-07,-87.8638,75.9375
0,2.29657e-07,-87.8638,78.75
0,2.34422e-07,-87.8638,81.5625
0,2.36769e-07,-87.8638,84.375
0,2.32585e-07,-87.8638,87.1875
0,2.28887e-07,-87.8638,90
0,2.23765e-07,-87.8638,92.8125
0,2.17269e-07,-87.8638,95.625
0,2.06265e-07,-87.8638,98.4375
0,2.05166e-07,-87.8638,101.25
0,1.94153e-07,-87.8638,104.062
0,1.82069e-07,-87.8638,106.875
0,1.73551e-07,-87.8638,109.688
0,1.73782e-07,-87.8638,112.5
0,1.69713e-07,-87.8638,115.312
0,1.64862e-07,-87.8638,118.125
0,1.60894e-07,-87.8638,120.938
0,1.62346e-07,-87.8638,123.75
0,1.56781e-07,-87.8638,126.562
0,1.53856e-07,-87.8638,129.375
0,1.54651e-07,-87.8638,132.188
0,1.5592e-07,-87.8638,135
0,1.52981e-07,-87.8638,137.812
0,1.52673e-07,-87.8638,140.625
0,1.54015e-07,-87.8638,143.438
0,1.5378e-07,-87.8638,146.25
0,1.56077e-07,-87.8638,149.062
0,1.57563e-07,-87.8638,151.875
0,1.59148e-07,-87.8638,154.688
0,1.63024e-07,-87.8638,157.5
0,1.658e-07,-87.8638,160.312
0,1.67254e-07,-87.8638,163.125
0,1.70274e-07,-87.8638,165.938
0,1.73614e-07,-87.8638,168.75
0,1.80563e-07,-87.8638,171.562
0,1.8991e-07,-87.8638,174.375
0,1.92745e-07,-87.8638,177.188
0,1.99674e-07,-87.8638,180
0,2.02459e-07,-87.8638,182.812
0,2.10497e-07,-87.8638,185.625
0,2.19056e-07,-87.8638,188.438
0,2.30881e-07,-87.8638,191.25
0,2.5584e-07,-87.8638,194.062
0,2.53791e-07,-87.8638,196.875
0,2.44943e-07,-87.8638,199.688
0,2.51489e-07,-87.8638,202.5
0,2.34084e-07,-87.8638,205.312
0,2.18404e-07,-87.8638,208.125
0,2.00989e-07,-87.8638,210.938
0,1.95102e-07,-87.8638,213.75
0,1.9128e-07,-87.8638,216.562
0,1.91396e-07,-87.8638,219.375
0,1.9165e-07,-87.8638,222.188
0,1.92642e-07,-87.8638,225
0,1.92531e-07,-87.8638,227.812
0,1.93179e-07,-87.8638,230.625
0,1.96475e-07,-87.8638,233.438
0,1.99862e-07,-87.8638,236.25
0,2.05143e-07,-87.8638,239.062
0,2.02944e-07,-87.8638,241.875
0,2.05545e-07,-87.8638,244.688
0,2.072e-07,-87.8638,247.5
0,2.09262e-07,-87.8638,250.312
0,2.12444e-07,-87.8638,253.125
0,2.11701e-07,-87.8638,255.938
0,2.07733e-07,-87.8638,258.75
0,2.03575e-07,-87.8638,261.562
0,1.98811e-07,-87.8638,264.375
0,1.96213e-07,-87.8638,267.188
0,1.90469e-07,-87.8638,270
0,1.8652e-07,-87.8638,272.812
0,1.80852e-07,-87.8638,275.625
0,1.75008e-07,-87.8638,278.438
0,1.67383e-07,-87.8638,281.25
0,1.60363e-07,-87.8638,284.062
0,1.57806e-07,-87.8638,286.875
0,1.53233e-07,-87.8638,289.688
0,1.50511e-07,-87.8638,292.5
0,1.51963e-07,-87.8638,295.312
0,1.5143e-07,-87.8638,298.125
0,1.49456e-07,-87.8638,300.938
0,1.45757e-07,-87.8638,303.75
0,1.4418e-07,-87.8638,306.562
0,1.40137e-07,-87.8638,309.375
0,1.38653e-07,-87.8638,312.188
0,1.36725e-07,-87.8638,315
0,1.35017e-07,-87.8638,317.812
0,1.30088e-07,-87.8638,320.625
0,1.29665e-07,-87.8638,323.438
0,1.27438e-07,-87.8638,326.25
0,1.25611e-07,-87.8638,329.062
0,1.22877e-07,-87.8638,331.875
0,1.21958e-07,-87.8638,334.688
0,1.22406e-07,-87.8638,337.5
0,1.23372e-07,-87.8638,340.312
0,1.23368e-07,-87.8638,343.125
0,1.23744e-07,-87.8638,345.938
0,1.24301e-07,-87.8638,348.75
0,1.21769e-07,-87.8638,351.562
0,1.20322e-07,-87.8638,354.375
0,1.00725e-06,87.8638,357.188
0,1.00705e-06,87.8638,0
0,1.01811e-06,87.8638,2.8125
0,1.02579e-06,87.8638,5.625
0,1.03041e-06,87.8638,8.4375
0,1.03368e-06,87.8638,11.25
0,1.04634e-06,87.8638,14.0625
0,1.05511e-06,87.8638,16.875
0,1.06209e-06,87.8638,19.6875
0,1.06963e-06,87.8638,22.5
0,1.07617e-06,87.8638,25.3125
0,1.09002e-06,87.8638,28.125
0,1.10248e-06,87.8638,30.9375
0,1.11117e-06,87.8638,33.75
0,1.12299e-06,87.8638,36.5625
0,1.13134e-06,87.8638,39.375
0,1.13734e-06,87.8638,42.1875
0,1.14465e-06,87.8638,45
0,1.15519e-06,87.8638,47.8125
0,1.15769e-06,87.8638,50.625
0,1.16203e-06,87.8638,53.4375
0,1.16281e-06,87.8638,56.25
0,1.16816e-06,87.8638,59.0625
0,1.16664e-06,87.8638,61.875
0,1.16476e-06,87.8638,64.6875
0,1.15815e-06,87.8638,67.5
0,1.15667e-06,87.8638,70.3125
0,1.15457e-06,87.8638,73.125
0,1.15071e-06,87.8638,75.9375
0,1.14719e-06,87.8638,78.75
0,1.14435e-06,87.8638,81.5625
0,1.13784e-06,87.8638,84.375
0,1.13866e-06,87.8638,87.1875
0,1.13658e-06,87.8638,90
0,1.12767e-06,87.8638,92.8125
0,1.12133e-06,87.8638,95.625
0,1.12344e-06,87.8638,98.4375
0,1.12259e-06,87.8638,101.25
0,1.12051e-06,87.8638,104.062
0,1.12029e-06,87.8638,106.875
0,1.12164e-06,87.8638,109.688
0,1.11921e-06,87.8638,112.5
0,1.11737e-06,87.8638,115.312
0,1.11733e-06,87.8638,118.125
0,1.11674e-06,87.8638,120.938
0,1.11434e-06,87.8638,123.75
0,1.11714e-06,87.8638,126.562
0,1.12022e-06,87.8638,129.375
0,1.12119e-06,87.8638,132.188
0,1.1166e-06,87.8638,135
0,1.11723e-06,87.8638,137.812
0,1.11775e-06,87.8638,140.625
0,1.11797e-06,87.8638,143.438
0,1.11599e-06,87.8638,146.25
0,1.109e-06,87.8638,149.062
0,1.10655e-06,87.8638,151.875
0,1.10407e-06,87.8638,154.688
0,1.09659e-06,87.8638,157.5
0,1.08897e-06,87.8638,160.312
0,1.07883e-06,87.8638,163.125
0,1.07588e-06,87.8638,165.938
0,1.06872e-06,87.8638,168.75
0,1.05973e-06,87.8638,171.562
0,1.05569e-06,87.8638,174.375
0,1.04735e-06,87.8638,177.188
0,1.03835e-06,87.8638,180
0,1.02834e-06,87.8638,182.812
0,1.02336e-06,87.8638,185.625
0,1.01587e-06,87.8638,188.438
0,1.00993e-06,87.8638,191.25
0,1.0059e-06,87.8638,194.062
0,1.00284e-06,87.8638,196.875
0,9.9855e-07,87.8638,199.688
0,9.91283e-07,87.8638,202.5
0,9.91592e-07,87.8638,205.312
0,9.91188e-07,87.8638,208.125
0,9.89058e-07,87.8638,210.938
0,9.886e-07,87.8638,213.75
0,9.86156e-07,87.8638,216.562
0,9.85594e-07,87.8638,219.375
0,9.85954e-07,87.8638,222.188
0,9.87479e-07,87.8638,225
0,9.86765e-07,87.8638,227.812
0,9.87137e-07,87.8638,230.625
0,9.90868e-07,87.8638,233.438
0,9.89361e-07,87.8638,236.25
0,9.92792e-07,87.8638,239.062
0,9.91149e-07,87.8638,241.875
0,9.85185e-07,87.8638,244.688
0,9.78749e-07,87.8638,247.5
0,9.77194e-07,87.8638,250.312
0,9.75416e-07,87.8638,253.125
0,9.68834e-07,87.8638,255.938
0,9.61085e-07,87.8638,258.75
0,9.57732e-07,87.8638,261.562
0,9.52032e-07,87.8638,264.375
0,9.53603e-07,87.8638,267.188
0,9.46313e-07,87.8638,270
0,9.45375e-07,87.8638,272.812
0,9.39844e-07,87.8638,275.625
0,9.42366e-07,87.8638,278.438
0,9.4421e-07,87.8638,281.25
0,9.44718e-07,87.8638,284.062
0,9.41673e-07,87.8638,286.875
0,9.40748e-07,87.8638,289.688
0,9.43137e-07,87.8638,292.5
0,9.46746e-07,87.8638,295.312
0,9.4673e-07,87.8638,298.125
0,9.44531e-07,87.8638,300.938
0,9.54876e-07,87.8638,303.75
0,9.58997e-07,87.8638,306.562
0,9.63652e-07,87.8638,309.375
0,9.68692e-07,87.8638,312.188
0,9.72857e-07,87.8638,315
0,9.78422e-07,87.8638,317.812
0,9.86484e-07,87.8638,320.625
0,9.96502e-07,87.8638,323.438
0,9.95856e-07,87.8638,326.25
0,9.93807e-07,87.8638,329.062
0,9.96742e-07,87.8638,331.875
0,1.00057e-06,87.8638,334.688
0,1.00317e-06,87.8638,337.5
0,1.00048e-06,87.8638,340.312
0,9.98908e-07,87.8638,343.125
0,9.99052e-07,87.8638,345.938
0,1.00399e-06,87.8638,348.75
0,1.0047e-06,87.8638,351.562
0,1.00647e-06,87.8638,354.375
0,1.15882e-06,85.0965,357.188
0,1.16331e-06,85.0965,0
0,1.17208e-06,85.0965,2.8125
0,1.18166e-06,85.0965,5.625
0,1.19824e-06,85.0965,8.4375
0,1.21162e-06,85.0965,11.25
0,1.22759e-06,85.0965,14.0625
0,1.24041e-06,85.0965,16.875
0,1.25628e-06,85.0965,19.6875
0,1.26775e-06,85.0965,22.5
0,1.26817e-06,85.0965,25.3125
