,coef,lat,lon
0,3.30755e-05,-87.8638,357.188
0,3.36289e-05,-87.8638,0
0,2.692e-05,-87.8638,2.8125
0,1.81363e-05,-87.8638,5.625
0,1.3586e-05,-87.8638,8.4375
0,9.29805e-06,-87.8638,11.25
0,6.98022e-06,-87.8638,14.0625
0,6.53732e-06,-87.8638,16.875
0,4.68786e-06,-87.8638,19.6875
0,3.08219e-06,-87.8638,22.5
0,2.27792e-06,-87.8638,25.3125
0,1.71736e-06,-87.8638,28.125
0,1.15773e-06,-87.8638,30.9375
0,8.9076e-07,-87.8638,33.75
0,5.03635e-07,-87.8638,36.5625
0,1.74331e-07,-87.8638,39.375
0,1.05974e-07,-87.8638,42.1875
0,9.86239e-08,-87.8638,45
0,5.38355e-08,-87.8638,47.8125
0,1.12395e-07,-87.8638,50.625
0,8.85041e-07,-87.8638,53.4375
0,8.80447e-07,-87.8638,56.25
0,1.65207e-05,-87.8638,59.0625
0,0.000222884,-87.8638,61.875
0,0.00124633,-87.8638,64.6875
0,0.00124398,-87.8638,67.5
0,0.0039174,-87.8638,70.3125
0,0.00792137,-87.8638,73.125
0,0.0125058,-87.8638,75.9375
0,0.0132041,-87.8638,78.75
0,0.0161514,-87.8638,81.5625
0,0.0171896,-87.8638,84.375
0,0.0174892,-87.8638,87.1875
0,0.0191622,-87.8638,90
0,0.0153503,-87.8638,92.8125
0,0.0108823,-87.8638,95.625
0,0.00662804,-87.8638,98.4375
0,0.006583,-87.8638,101.25
0,0.00325055,-87.8638,104.062
0,0.00148358,-87.8638,106.875
0,0.000457523,-87.8638,109.688
0,0.000432672,-87.8638,112.5
0,8.56476e-05,-87.8638,115.312
0,1.72645e-05,-87.8638,118.125
0,3.29186e-06,-87.8638,120.938
0,2.68247e-06,-87.8638,123.75
0,6.2888e-07,-87.8638,126.562
0,2.51325e-07,-87.8638,129.375
0,1.04674e-07,-87.8638,132.188
0,1.22576e-07,-87.8638,135
0,1.88391e-07,-87.8638,137.812
0,2.84839e-07,-87.8638,140.625
0,2.3692e-07,-87.8638,143.438
0,4.47957e-07,-87.8638,146.25
0,6.21613e-07,-87.8638,149.062
0,1.02251e-06,-87.8638,151.875
0,1.02248e-06,-87.8638,154.688
0,6.74248e-07,-87.8638,157.5
0,5.40175e-07,-87.8638,160.312
0,6.40537e-07,-87.8638,163.125
0,7.10501e-07,-87.8638,165.938
0,6.85259e-07,-87.8638,168.75
0,6.61448e-07,-87.8638,171.562
0,3.78343e-07,-87.8638,174.375
0,6.57246e-07,-87.8638,177.188
0,5.78886e-07,-87.8638,180
0,1.3432e-06,-87.8638,182.812
0,1.31046e-06,-87.8638,185.625
0,1.61344e-06,-87.8638,188.438
0,2.85081e-06,-87.8638,191.25
0,3.52066e-05,-87.8638,194.062
0,5.51872e-05,-87.8638,196.875
0,3.93305e-05,-87.8638,199.688
0,3.45663e-05,-87.8638,202.5
0,2.0322e-05,-87.8638,205.312
0,4.94837e-06,-87.8638,208.125
0,5.17477e-06,-87.8638,210.938
0,5.42635e-06,-87.8638,213.75
0,5.35761e-06,-87.8638,216.562
0,4.29545e-06,-87.8638,219.375
0,3.56134e-06,-87.8638,222.188
0,3.47143e-06,-87.8638,225
0,2.39509e-06,-87.8638,227.812
0,1.79578e-06,-87.8638,230.625
0,1.05301e-06,-87.8638,233.438
0,6.96626e-07,-87.8638,236.25
0,5.00905e-07,-87.8638,239.062
0,4.8263e-07,-87.8638,241.875
0,3.04246e-07,-87.8638,244.688
0,3.81462e-07,-87.8638,247.5
0,3.16773e-07,-87.8638,250.312
0,2.82725e-07,-87.8638,253.125
0,3.96275e-07,-87.8638,255.938
0,4.44551e-07,-87.8638,258.75
0,6.41507e-07,-87.8638,261.562
0,8.39183e-07,-87.8638,264.375
0,1.05024e-06,-87.8638,267.188
0,1.96974e-06,-87.8638,270
0,3.17597e-06,-87.8638,272.812
0,6.51573e-06,-87.8638,275.625
0,1.29236e-05,-87.8638,278.438
0,3.18748e-05,-87.8638,281.25
0,6.59162e-05,-87.8638,284.062
0,0.000105508,-87.8638,286.875
0,0.000180563,-87.8638,289.688
0,0.000257765,-87.8638,292.5
0,0.000261025,-87.8638,295.312
0,0.000285397,-87.8638,298.125
0,0.000317085,-87.8638,300.938
0,0.00039056,-87.8638,303.75
0,0.000424373,-87.8638,306.562
0,0.000486601,-87.8638,309.375
0,0.000423754,-87.8638,312.188
0,0.000365427,-87.8638,315
0,0.000310764,-87.8638,317.812
0,0.000324592,-87.8638,320.625
0,0.000267389,-87.8638,323.438
0,0.000240308,-87.8638,326.25
0,0.000208443,-87.8638,329.062
0,0.000210482,-87.8638,331.875
0,0.000176355,-87.8638,334.688
0,0.000121848,-87.8638,337.5
0,9.00012e-05,-87.8638,340.312
0,6.93911e-05,-87.8638,343.125
0,4.94615e-05,-87.8638,345.938
0,3.80281e-05,-87.8638,348.75
0,4.59335e-05,-87.8638,351.562
0,4.42724e-05,-87.8638,354.375
0,1.26705e-11,87.8638,357.188
0,1.06741e-11,87.8638,0
0,1.03933e-11,87.8638,2.8125
0,1.04997e-11,87.8638,5.625
0,1.17334e-11,87.8638,8.4375
0,1.45726e-11,87.8638,11.25
0,1.36918e-11,87.8638,14.0625
0,1.62627e-11,87.8638,16.875
0,1.76181e-11,87.8638,19.6875
0,2.25558e-11,87.8638,22.5
0,3.59731e-11,87.8638,25.3125
0,5.02816e-11,87.8638,28.125
0,7.45272e-11,87.8638,30.9375
0,1.30933e-10,87.8638,33.75
0,1.96158e-10,87.8638,36.5625
0,2.49403e-10,87.8638,39.375
0,3.86255e-10,87.8638,42.1875
0,6.56669e-10,87.8638,45
0,1.23673e-09,87.8638,47.8125
0,1.00148e-09,87.8638,50.625
0,9.4728e-10,87.8638,53.4375
0,1.10108e-09,87.8638,56.25
0,1.27072e-09,87.8638,59.0625
0,1.23217e-09,87.8638,61.875
0,9.50667e-10,87.8638,64.6875
0,9.64561e-10,87.8638,67.5
0,8.37629e-10,87.8638,70.3125
0,7.99742e-10,87.8638,73.125
0,7.68871e-10,87.8638,75.9375
0,7.28241e-10,87.8638,78.75
0,7.21324e-10,87.8638,81.5625
0,7.42851e-10,87.8638,84.375
0,7.12473e-10,87.8638,87.1875
0,6.60425e-10,87.8638,90
0,8.14216e-10,87.8638,92.8125
0,9.59106e-10,87.8638,95.625
0,9.34284e-10,87.8638,98.4375
0,9.58358e-10,87.8638,101.25
0,9.6712e-10,87.8638,104.062
0,9.11026e-10,87.8638,106.875
0,7.76562e-10,87.8638,109.688
0,8.86514e-10,87.8638,112.5
0,7.99988e-10,87.8638,115.312
0,6.70265e-10,87.8638,118.125
0,5.77287e-10,87.8638,120.938
0,5.29151e-10,87.8638,123.75
0,3.7546e-10,87.8638,126.562
0,2.95355e-10,87.8638,129.375
0,2.53301e-10,87.8638,132.188
0,2.63603e-10,87.8638,135
0,2.10919e-10,87.8638,137.812
0,1.67237e-10,87.8638,140.625
0,1.44211e-10,87.8638,143.438
0,1.20913e-10,87.8638,146.25
0,1.25331e-10,87.8638,149.062
0,1.012e-10,87.8638,151.875
0,9.03821e-11,87.8638,154.688
0,7.9956e-11,87.8638,157.5
0,7.2078e-11,87.8638,160.312
0,7.37952e-11,87.8638,163.125
0,5.606e-11,87.8638,165.938
0,5.39294e-11,87.8638,168.75
0,3.71512e-11,87.8638,171.562
0,2.49049e-11,87.8638,174.375
0,2.0641e-11,87.8638,177.188
0,2.29136e-11,87.8638,180
0,2.53474e-11,87.8638,182.812
0,2.01305e-11,87.8638,185.625
0,1.66043e-11,87.8638,188.438
0,1.19799e-11,87.8638,191.25
0,1.23877e-11,87.8638,194.062
0,1.1488e-11,87.8638,196.875
0,1.02782e-11,87.8638,199.688
0,9.66382e-12,87.8638,202.5
0,7.08065e-12,87.8638,205.312
0,7.60207e-12,87.8638,208.125
0,8.31023e-12,87.8638,210.938
0,7.16078e-12,87.8638,213.75
0,6.34199e-12,87.8638,216.562
0,1.07966e-11,87.8638,219.375
0,1.46728e-11,87.8638,222.188
0,2.20778e-11,87.8638,225
0,3.88744e-11,87.8638,227.812
0,3.93644e-11,87.8638,230.625
0,4.782e-11,87.8638,233.438
0,7.95362e-11,87.8638,236.25
0,1.5625e-10,87.8638,239.062
0,1.04903e-10,87.8638,241.875
0,6.07893e-11,87.8638,244.688
0,5.16789e-11,87.8638,247.5
0,4.5424e-11,87.8638,250.312
0,3.45473e-11,87.8638,253.125
0,1.56131e-11,87.8638,255.938
0,8.54018e-12,87.8638,258.75
0,3.07677e-12,87.8638,261.562
0,2.1608e-12,87.8638,264.375
0,1.66587e-12,87.8638,267.188
0,1.47907e-12,87.8638,270
0,1.24387e-12,87.8638,272.812
0,1.22581e-12,87.8638,275.625
0,1.12487e-12,87.8638,278.438
0,1.18719e-12,87.8638,281.25
0,1.07146e-12,87.8638,284.062
0,1.14757e-12,87.8638,286.875
0,1.4725e-12,87.8638,289.688
0,2.19195e-12,87.8638,292.5
0,1.90475e-12,87.8638,295.312
0,1.82756e-12,87.8638,298.125
