,coef,lat,lon
0,0.0758669,-87.8638,357.188
0,0.0928178,-87.8638,0
0,0.104031,-87.8638,2.8125
0,0.101782,-87.8638,5.625
0,0.104586,-87.8638,8.4375
0,0.116894,-87.8638,11.25
0,0.11982,-87.8638,14.0625
0,0.133341,-87.8638,16.875
0,0.126672,-87.8638,19.6875
0,0.120542,-87.8638,22.5
0,0.122882,-87.8638,25.3125
0,0.11992,-87.8638,28.125
0,0.121359,-87.8638,30.9375
0,0.118313,-87.8638,33.75
0,0.141413,-87.8638,36.5625
0,0.151457,-87.8638,39.375
0,0.171398,-87.8638,42.1875
0,0.185616,-87.8638,45
0,0.191796,-87.8638,47.8125
0,0.192936,-87.8638,50.625
0,0.179394,-87.8638,53.4375
0,0.177866,-87.8638,56.25
0,0.149006,-87.8638,59.0625
0,0.126038,-87.8638,61.875
0,0.110429,-87.8638,64.6875
0,0.106904,-87.8638,67.5
0,0.0964305,-87.8638,70.3125
0,0.0896633,-87.8638,73.125
0,0.0859301,-87.8638,75.9375
0,0.0849811,-87.8638,78.75
0,0.0830041,-87.8638,81.5625
0,0.083797,-87.8638,84.375
0,0.0834442,-87.8638,87.1875
0,0.0817642,-87.8638,90
0,0.0838523,-87.8638,92.8125
0,0.0859516,-87.8638,95.625
0,0.0875984,-87.8638,98.4375
0,0.0882119,-87.8638,101.25
0,0.0923427,-87.8638,104.062
0,0.0929715,-87.8638,106.875
0,0.0995299,-87.8638,109.688
0,0.101675,-87.8638,112.5
0,0.106592,-87.8638,115.312
0,0.11255,-87.8638,118.125
0,0.117456,-87.8638,120.938
0,0.118586,-87.8638,123.75
0,0.123077,-87.8638,126.562
0,0.125447,-87.8638,129.375
0,0.136479,-87.8638,132.188
0,0.137214,-87.8638,135
0,0.136948,-87.8638,137.812
0,0.134601,-87.8638,140.625
0,0.14897,-87.8638,143.438
0,0.152763,-87.8638,146.25
0,0.15535,-87.8638,149.062
0,0.156203,-87.8638,151.875
0,0.171995,-87.8638,154.688
0,0.193646,-87.8638,157.5
0,0.218011,-87.8638,160.312
0,0.235415,-87.8638,163.125
0,0.245764,-87.8638,165.938
0,0.266632,-87.8638,168.75
0,0.277163,-87.8638,171.562
0,0.302997,-87.8638,174.375
0,0.320723,-87.8638,177.188
0,0.340869,-87.8638,180
0,0.352635,-87.8638,182.812
0,0.381477,-87.8638,185.625
0,0.399814,-87.8638,188.438
0,0.407707,-87.8638,191.25
0,0.339793,-87.8638,194.062
0,0.341684,-87.8638,196.875
0,0.366464,-87.8638,199.688
0,0.360824,-87.8638,202.5
0,0.399343,-87.8638,205.312
0,0.43922,-87.8638,208.125
0,0.434934,-87.8638,210.938
0,0.420929,-87.8638,213.75
0,0.400294,-87.8638,216.562
0,0.377517,-87.8638,219.375
0,0.35503,-87.8638,222.188
0,0.337962,-87.8638,225
0,0.322038,-87.8638,227.812
0,0.310717,-87.8638,230.625
0,0.310199,-87.8638,233.438
0,0.309376,-87.8638,236.25
0,0.306381,-87.8638,239.062
0,0.308114,-87.8638,241.875
0,0.313552,-87.8638,244.688
0,0.308186,-87.8638,247.5
0,0.306118,-87.8638,250.312
0,0.310481,-87.8638,253.125
0,0.312514,-87.8638,255.938
0,0.331078,-87.8638,258.75
0,0.332761,-87.8638,261.562
0,0.334787,-87.8638,264.375
0,0.332653,-87.8638,267.188
0,0.328125,-87.8638,270
0,0.310054,-87.8638,272.812
0,0.289652,-87.8638,275.625
0,0.2698,-87.8638,278.438
0,0.250921,-87.8638,281.25
0,0.230702,-87.8638,284.062
0,0.211012,-87.8638,286.875
0,0.195261,-87.8638,289.688
0,0.180996,-87.8638,292.5
0,0.171304,-87.8638,295.312
0,0.163835,-87.8638,298.125
0,0.157472,-87.8638,300.938
0,0.144455,-87.8638,303.75
0,0.133316,-87.8638,306.562
0,0.123604,-87.8638,309.375
0,0.112855,-87.8638,312.188
0,0.101809,-87.8638,315
0,0.0908073,-87.8638,317.812
0,0.0843524,-87.8638,320.625
0,0.0744842,-87.8638,323.438
0,0.0675482,-87.8638,326.25
0,0.0659014,-87.8638,329.062
0,0.0608991,-87.8638,331.875
0,0.0580868,-87.8638,334.688
0,0.055751,-87.8638,337.5
0,0.0518351,-87.8638,340.312
0,0.0488937,-87.8638,343.125
0,0.054778,-87.8638,345.938
0,0.0565598,-87.8638,348.75
0,0.0632741,-87.8638,351.562
0,0.072912,-87.8638,354.375
0,0.181231,87.8638,357.188
0,0.177584,87.8638,0
0,0.17485,87.8638,2.8125
0,0.173509,87.8638,5.625
0,0.168342,87.8638,8.4375
0,0.158381,87.8638,11.25
0,0.158238,87.8638,14.0625
0,0.163809,87.8638,16.875
0,0.171491,87.8638,19.6875
0,0.171737,87.8638,22.5
0,0.168265,87.8638,25.3125
0,0.170745,87.8638,28.125
0,0.173341,87.8638,30.9375
0,0.174414,87.8638,33.75
0,0.17435,87.8638,36.5625
0,0.1714,87.8638,39.375
0,0.170885,87.8638,42.1875
0,0.16816,87.8638,45
0,0.167305,87.8638,47.8125
0,0.162845,87.8638,50.625
0,0.159283,87.8638,53.4375
0,0.153579,87.8638,56.25
0,0.150649,87.8638,59.0625
0,0.142542,87.8638,61.875
0,0.136449,87.8638,64.6875
0,0.127918,87.8638,67.5
0,0.122847,87.8638,70.3125
0,0.116338,87.8638,73.125
0,0.110912,87.8638,75.9375
0,0.10617,87.8638,78.75
0,0.0981558,87.8638,81.5625
0,0.0942236,87.8638,84.375
0,0.0941521,87.8638,87.1875
0,0.0947821,87.8638,90
0,0.0937919,87.8638,92.8125
0,0.0911063,87.8638,95.625
0,0.0916248,87.8638,98.4375
0,0.0924683,87.8638,101.25
0,0.0937555,87.8638,104.062
0,0.0943405,87.8638,106.875
0,0.0957534,87.8638,109.688
0,0.0951562,87.8638,112.5
0,0.0995714,87.8638,115.312
0,0.102204,87.8638,118.125
0,0.104176,87.8638,120.938
0,0.10598,87.8638,123.75
0,0.109062,87.8638,126.562
0,0.111905,87.8638,129.375
0,0.114803,87.8638,132.188
0,0.11552,87.8638,135
0,0.119679,87.8638,137.812
0,0.124441,87.8638,140.625
0,0.129012,87.8638,143.438
0,0.132174,87.8638,146.25
0,0.13409,87.8638,149.062
0,0.137606,87.8638,151.875
0,0.13972,87.8638,154.688
0,0.142818,87.8638,157.5
0,0.142606,87.8638,160.312
0,0.143121,87.8638,163.125
0,0.146202,87.8638,165.938
0,0.148036,87.8638,168.75
0,0.151562,87.8638,171.562
0,0.153124,87.8638,174.375
0,0.155976,87.8638,177.188
0,0.152981,87.8638,180
0,0.151536,87.8638,182.812
0,0.152724,87.8638,185.625
0,0.154942,87.8638,188.438
0,0.160568,87.8638,191.25
0,0.156446,87.8638,194.062
0,0.153867,87.8638,196.875
0,0.15333,87.8638,199.688
0,0.155247,87.8638,202.5
0,0.154478,87.8638,205.312
0,0.148282,87.8638,208.125
0,0.14283,87.8638,210.938
0,0.14428,87.8638,213.75
0,0.145662,87.8638,216.562
0,0.135257,87.8638,219.375
0,0.13283,87.8638,222.188
0,0.126515,87.8638,225
0,0.124731,87.8638,227.812
0,0.12819,87.8638,230.625
0,0.129956,87.8638,233.438
0,0.130089,87.8638,236.25
0,0.127838,87.8638,239.062
0,0.134814,87.8638,241.875
0,0.14338,87.8638,244.688
0,0.149123,87.8638,247.5
0,0.153774,87.8638,250.312
0,0.16108,87.8638,253.125
0,0.177552,87.8638,255.938
0,0.191498,87.8638,258.75
0,0.214003,87.8638,261.562
0,0.234676,87.8638,264.375
0,0.246223,87.8638,267.188
0,0.258432,87.8638,270
0,0.272157,87.8638,272.812
0,0.286499,87.8638,275.625
0,0.288971,87.8638,278.438
0,0.285062,87.8638,281.25
0,0.289441,87.8638,284.062
0,0.293559,87.8638,286.875
0,0.284569,87.8638,289.688
0,0.271387,87.8638,292.5
0,0.264117,87.8638,295.312
0,0.257853,87.8638,298.125
0,0.249303,87.8638,300.938
0,0.238728,87.8638,303.75
0,0.225474,87.8638,306.562
0,0.210202,87.8638,309.375
0,0.195062,87.8638,312.188
0,0.192669,87.8638,315
0,0.17941,87.8638,317.812
0,0.171795,87.8638,320.625
0,0.166861,87.8638,323.438
0,0.173567,87.8638,326.25
0,0.177229,87.8638,329.062
0,0.178617,87.8638,331.875
0,0.17855,87.8638,334.688
0,0.181218,87.8638,337.5
0,0.182114,87.8638,340.312
0,0.182053,87.8638,343.125
0,0.183152,87.8638,345.938
0,0.185438,87.8638,348.75
0,0.184944,87.8638,351.562
0,0.181641,87.8638,354.375
0,0.350098,85.0965,357.188
0,0.33314,85.0965,0
0,0.335201,85.0965,2.8125
0,0.343428,85.0965,5.625
0,0.334866,85.0965,8.4375
0,0.327371,85.0965,11.25
0,0.322295,85.0965,14.0625
0,0.316033,85.0965,16.875
0,0.294912,85.0965,19.6875
0,0.282304,85.0965,22.5
0,0.273103,85.0965,25.3125
0,0.258718,85.0965,28.125
0,0.24128,85.0965,30.9375
0,0.230542,85.0965,33.75
0,0.228625,85.0965,36.5625
0,0.223658,85.0965,39.375
0,0.220219,85.0965,42.1875
0,0.218963,85.0965,45
0,0.216492,85.0965,47.8125
0,0.21298,85.0965,50.625
0,0.213616,85.0965,53.4375
0,0.20995,85.0965,56.25
0,0.199645,85.0965,59.0625
0,0.195948,85.0965,61.875
0,0.195007,85.0965,64.6875
0,0.187778,85.0965,67.5
0,0.177983,85.0965,70.3125
0,0.172261,85.0965,73.125
0,0.166164,85.0965,75.9375
0,0.163103,85.0965,78.75
0,0.149977,85.0965,81.5625
0,0.147066,85.0965,84.375
0,0.147594,85.0965,87.1875
0,0.144867,85.0965,90
0,0.140678,85.0965,92.8125
0,0.134947,85.0965,95.625
0,0.131719,85.0965,98.4375
0,0.130178,85.0965,101.25
0,0.128242,85.0965,104.062
0,0.127388,85.0965,106.875
0,0.130831,85.0965,109.688
0,0.134396,85.0965,112.5
0,0.135298,85.0965,115.312
0,0.136791,85.0965,118.125
0,0.137087,85.0965,120.938
0,0.135945,85.0965,123.75
0,0.134885,85.0965,126.562
0,0.13336,85.0965,129.375
0,0.132692,85.0965,132.188
0,0.131557,85.0965,135
0,0.131648,85.0965,137.812
0,0.131249,85.0965,140.625
0,0.13106,85.0965,143.438
0,0.130219,85.0965,146.25
0,0.130984,85.0965,149.062
0,0.13028,85.0965,151.875
0,0.130638,85.0965,154.688
0,0.132489,85.0965,157.5
0,0.13461,85.0965,160.312
0,0.136771,85.0965,163.125
0,0.140616,85.0965,165.938
0,0.146973,85.0965,168.75
0,0.151916,85.0965,171.562
0,0.149537,85.0965,174.375
0,0.144643,85.0965,177.188
0,0.140909,85.0965,180
0,0.134532,85.0965,182.812
0,0.128744,85.0965,185.625
0,0.122381,85.0965,188.438
0,0.121674,85.0965,191.25
0,0.114359,85.0965,194.062
0,0.112091,85.0965,196.875
0,0.1134,85.0965,199.688
0,0.115306,85.0965,202.5
0,0.120062,85.0965,205.312
0,0.127571,85.0965,208.125
0,0.136859,85.0965,210.938
0,0.143609,85.0965,213.75
0,0.149226,85.0965,216.562
0,0.152762,85.0965,219.375
0,0.152152,85.0965,222.188
0,0.148176,85.0965,225
0,0.147849,85.0965,227.812
0,0.149376,85.0965,230.625
0,0.14923,85.0965,233.438
0,0.152709,85.0965,236.25
0,0.151618,85.0965,239.062
0,0.150663,85.0965,241.875
0,0.14788,85.0965,244.688
0,0.148216,85.0965,247.5
0,0.146795,85.0965,250.312
0,0.144655,85.0965,253.125
0,0.145453,85.0965,255.938
0,0.145281,85.0965,258.75
0,0.144395,85.0965,261.562
0,0.138886,85.0965,264.375
0,0.129661,85.0965,267.188
0,0.120849,85.0965,270
0,0.115078,85.0965,272.812
0,0.116979,85.0965,275.625
0,0.121315,85.0965,278.438
0,0.121819,85.0965,281.25
0,0.128356,85.0965,284.062
0,0.124939,85.0965,286.875
0,0.127442,85.0965,289.688
0,0.128729,85.0965,292.5
0,0.121579,85.0965,295.312
0,0.11713,85.0965,298.125
0,0.104792,85.0965,300.938
0,0.102029,85.0965,303.75
0,0.105956,85.0965,306.562
0,0.107148,85.0965,309.375
0,0.106929,85.0965,312.188
0,0.111973,85.0965,315
0,0.111057,85.0965,317.812
0,0.115074,85.0965,320.625
0,0.124007,85.0965,323.438
0,0.135127,85.0965,326.25
0,0.147379,85.0965,329.062
0,0.157347,85.0965,331.875
0,0.173346,85.0965,334.688
0,0.203833,85.0965,337.5
0,0.235664,85.0965,340.312
0,0.266224,85.0965,343.125
0,0.294647,85.0965,345.938
0,0.321008,85.0965,348.75
0,0.342231,85.0965,351.562
0,0.346244,85.0965,354.375
0,0.428437,82.3129,357.188
0,0.445603,82.3129,0
0,0.485049,82.3129,2.8125
0,0.526551,82.3129,5.625
0,0.524207,82.3129,8.4375
0,0.50241,82.3129,11.25
0,0.478935,82.3129,14.0625
0,0.469394,82.3129,16.875
0,0.459201,82.3129,19.6875
0,0.419465,82.3129,22.5
0,0.381485,82.3129,25.3125
0,0.346025,82.3129,28.125
0,0.320188,82.3129,30.9375
0,0.300563,82.3129,33.75
0,0.291679,82.3129,36.5625
0,0.287318,82.3129,39.375
0,0.27265,82.3129,42.1875
0,0.268666,82.3129,45
0,0.26398,82.3129,47.8125
0,0.263958,82.3129,50.625
0,0.256495,82.3129,53.4375
0,0.261431,82.3129,56.25
0,0.254053,82.3129,59.0625
0,0.258233,82.3129,61.875
0,0.253745,82.3129,64.6875
0,0.257799,82.3129,67.5
0,0.253514,82.3129,70.3125
0,0.238681,82.3129,73.125
0,0.231284,82.3129,75.9375
0,0.2167,82.3129,78.75
0,0.215117,82.3129,81.5625
0,0.21166,82.3129,84.375
0,0.213266,82.3129,87.1875
0,0.226405,82.3129,90
0,0.235392,82.3129,92.8125
0,0.244722,82.3129,95.625
0,0.253236,82.3129,98.4375
0,0.255979,82.3129,101.25
0,0.243257,82.3129,104.062
0,0.229545,82.3129,106.875
0,0.206514,82.3129,109.688
0,0.177858,82.3129,112.5
0,0.160189,82.3129,115.312
0,0.146461,82.3129,118.125
0,0.141326,82.3129,120.938
0,0.141571,82.3129,123.75
0,0.138606,82.3129,126.562
0,0.145621,82.3129,129.375
0,0.140254,82.3129,132.188
0,0.138654,82.3129,135
0,0.140094,82.3129,137.812
0,0.135322,82.3129,140.625
0,0.13794,82.3129,143.438
0,0.145326,82.3129,146.25
0,0.141861,82.3129,149.062
0,0.137556,82.3129,151.875
0,0.128554,82.3129,154.688
0,0.125252,82.3129,157.5
0,0.131147,82.3129,160.312
0,0.140294,82.3129,163.125
0,0.152148,82.3129,165.938
0,0.170657,82.3129,168.75
0,0.165554,82.3129,171.562
0,0.16094,82.3129,174.375
0,0.146087,82.3129,177.188
0,0.137721,82.3129,180
0,0.144015,82.3129,182.812
0,0.148266,82.3129,185.625
0,0.154932,82.3129,188.438
0,0.175826,82.3129,191.25
0,0.173945,82.3129,194.062
0,0.166823,82.3129,196.875
0,0.158359,82.3129,199.688
0,0.142709,82.3129,202.5
0,0.139523,82.3129,205.312
0,0.139193,82.3129,208.125
0,0.13678,82.3129,210.938
0,0.143944,82.3129,213.75
0,0.134279,82.3129,216.562
0,0.134406,82.3129,219.375
0,0.136382,82.3129,222.188
0,0.137249,82.3129,225
0,0.141355,82.3129,227.812
0,0.144778,82.3129,230.625
0,0.14641,82.3129,233.438
0,0.142405,82.3129,236.25
0,0.134764,82.3129,239.062
0,0.129301,82.3129,241.875
0,0.128607,82.3129,244.688
0,0.132405,82.3129,247.5
0,0.130103,82.3129,250.312
0,0.127411,82.3129,253.125
0,0.130581,82.3129,255.938
0,0.135148,82.3129,258.75
0,0.118805,82.3129,261.562
0,0.121142,82.3129,264.375
0,0.13588,82.3129,267.188
0,0.153685,82.3129,270
0,0.249336,82.3129,272.812
0,0.309674,82.3129,275.625
0,0.278757,82.3129,278.438
0,0.237501,82.3129,281.25
0,0.220864,82.3129,284.062
0,0.208004,82.3129,286.875
0,0.205902,82.3129,289.688
0,0.216594,82.3129,292.5
0,0.190806,82.3129,295.312
0,0.24905,82.3129,298.125
0,0.28845,82.3129,300.938
0,0.293712,82.3129,303.75
0,0.350365,82.3129,306.562
0,0.320833,82.3129,309.375
0,0.312752,82.3129,312.188
0,0.298957,82.3129,315
0,0.331122,82.3129,317.812
0,0.368222,82.3129,320.625
0,0.417163,82.3129,323.438
0,0.419085,82.3129,326.25
0,0.391007,82.3129,329.062
0,0.401907,82.3129,331.875
0,0.390632,82.3129,334.688
0,0.357112,82.3129,337.5
0,0.275056,82.3129,340.312
0,0.319318,82.3129,343.125
0,0.302405,82.3129,345.938
0,0.285751,82.3129,348.75
0,0.348962,82.3129,351.562
0,0.385116,82.3129,354.375
0,0.237759,79.5256,357.188
0,0.311047,79.5256,0
0,0.482037,79.5256,2.8125
0,0.551372,79.5256,5.625
0,0.607946,79.5256,8.4375
0,0.543202,79.5256,11.25
0,0.508951,79.5256,14.0625
0,0.420597,79.5256,16.875
0,0.296417,79.5256,19.6875
0,0.4569,79.5256,22.5
0,0.237583,79.5256,25.3125
0,0.181022,79.5256,28.125
0,0.233526,79.5256,30.9375
0,0.233117,79.5256,33.75
0,0.254632,79.5256,36.5625
0,0.28291,79.5256,39.375
0,0.336355,79.5256,42.1875
0,0.427165,79.5256,45
0,0.483074,79.5256,47.8125
0,0.498929,79.5256,50.625
0,0.452782,79.5256,53.4375
0,0.340091,79.5256,56.25
0,0.303846,79.5256,59.0625
0,0.307971,79.5256,61.875
0,0.331303,79.5256,64.6875
0,0.365994,79.5256,67.5
0,0.378478,79.5256,70.3125
0,0.335422,79.5256,73.125
0,0.311938,79.5256,75.9375
0,0.280734,79.5256,78.75
0,0.261706,79.5256,81.5625
0,0.218069,79.5256,84.375
0,0.200453,79.5256,87.1875
0,0.20998,79.5256,90
0,0.149078,79.5256,92.8125
0,0.129881,79.5256,95.625
0,0.121953,79.5256,98.4375
0,0.162058,79.5256,101.25
0,0.204095,79.5256,104.062
0,0.255925,79.5256,106.875
0,0.256064,79.5256,109.688
0,0.250188,79.5256,112.5
0,0.248958,79.5256,115.312
0,0.246417,79.5256,118.125
0,0.240674,79.5256,120.938
0,0.239845,79.5256,123.75
0,0.243416,79.5256,126.562
0,0.253652,79.5256,129.375
0,0.252491,79.5256,132.188
0,0.24361,79.5256,135
0,0.243967,79.5256,137.812
0,0.235879,79.5256,140.625
0,0.238062,79.5256,143.438
0,0.229161,79.5256,146.25
0,0.209159,79.5256,149.062
0,0.184411,79.5256,151.875
0,0.176129,79.5256,154.688
0,0.177617,79.5256,157.5
0,0.183082,79.5256,160.312
0,0.176209,79.5256,163.125
0,0.160653,79.5256,165.938
0,0.161712,79.5256,168.75
0,0.171144,79.5256,171.562
0,0.191745,79.5256,174.375
