,coef,lat,lon
0,0.863221,-87.8638,357.188
0,0.898852,-87.8638,0
0,0.896832,-87.8638,2.8125
0,0.838792,-87.8638,5.625
0,0.791784,-87.8638,8.4375
0,0.76711,-87.8638,11.25
0,0.740673,-87.8638,14.0625
0,0.786592,-87.8638,16.875
0,0.757272,-87.8638,19.6875
0,0.737551,-87.8638,22.5
0,0.747019,-87.8638,25.3125
0,0.757122,-87.8638,28.125
0,0.777535,-87.8638,30.9375
0,0.774216,-87.8638,33.75
0,0.858762,-87.8638,36.5625
0,0.878702,-87.8638,39.375
0,0.973169,-87.8638,42.1875
0,0.953616,-87.8638,45
0,0.943422,-87.8638,47.8125
0,0.8752,-87.8638,50.625
0,0.797882,-87.8638,53.4375
0,0.818506,-87.8638,56.25
0,0.782427,-87.8638,59.0625
0,0.747912,-87.8638,61.875
0,0.752489,-87.8638,64.6875
0,0.774406,-87.8638,67.5
0,0.766628,-87.8638,70.3125
0,0.753729,-87.8638,73.125
0,0.759439,-87.8638,75.9375
0,0.769494,-87.8638,78.75
0,0.766567,-87.8638,81.5625
0,0.77588,-87.8638,84.375
0,0.764557,-87.8638,87.1875
0,0.758321,-87.8638,90
0,0.770356,-87.8638,92.8125
0,0.789218,-87.8638,95.625
0,0.795504,-87.8638,98.4375
0,0.80041,-87.8638,101.25
0,0.816473,-87.8638,104.062
0,0.818652,-87.8638,106.875
0,0.858348,-87.8638,109.688
0,0.867971,-87.8638,112.5
0,0.947252,-87.8638,115.312
0,0.977899,-87.8638,118.125
0,0.889764,-87.8638,120.938
0,0.86315,-87.8638,123.75
0,0.800882,-87.8638,126.562
0,0.717495,-87.8638,129.375
0,0.582364,-87.8638,132.188
0,0.580054,-87.8638,135
0,0.579639,-87.8638,137.812
0,0.580287,-87.8638,140.625
0,0.528841,-87.8638,143.438
0,0.633313,-87.8638,146.25
0,0.645855,-87.8638,149.062
0,0.683541,-87.8638,151.875
0,0.719574,-87.8638,154.688
0,0.711426,-87.8638,157.5
0,0.762324,-87.8638,160.312
0,0.803225,-87.8638,163.125
0,0.857045,-87.8638,165.938
0,0.868351,-87.8638,168.75
0,0.842047,-87.8638,171.562
0,0.768016,-87.8638,174.375
0,0.779547,-87.8638,177.188
0,0.752108,-87.8638,180
0,0.764257,-87.8638,182.812
0,0.69891,-87.8638,185.625
0,0.643364,-87.8638,188.438
0,0.565412,-87.8638,191.25
0,0.509553,-87.8638,194.062
0,0.550754,-87.8638,196.875
0,0.593172,-87.8638,199.688
0,0.57696,-87.8638,202.5
0,0.668599,-87.8638,205.312
0,0.785988,-87.8638,208.125
0,0.974192,-87.8638,210.938
0,0.933595,-87.8638,213.75
0,0.900631,-87.8638,216.562
0,0.933653,-87.8638,219.375
0,0.967679,-87.8638,222.188
0,0.978848,-87.8638,225
0,0.937419,-87.8638,227.812
0,0.883673,-87.8638,230.625
0,0.784895,-87.8638,233.438
0,0.680647,-87.8638,236.25
0,0.55917,-87.8638,239.062
0,0.542162,-87.8638,241.875
0,0.477301,-87.8638,244.688
0,0.436753,-87.8638,247.5
0,0.396442,-87.8638,250.312
0,0.338597,-87.8638,253.125
0,0.305791,-87.8638,255.938
