,coef,lat,lon
0,2.83825e-08,-87.8638,357.188
0,3.49132e-08,-87.8638,0
0,3.49654e-08,-87.8638,2.8125
0,3.56727e-08,-87.8638,5.625
0,3.7234e-08,-87.8638,8.4375
0,3.63639e-08,-87.8638,11.25
0,3.60981e-08,-87.8638,14.0625
0,3.87708e-08,-87.8638,16.875
0,3.95582e-08,-87.8638,19.6875
0,4.14542e-08,-87.8638,22.5
0,4.46347e-08,-87.8638,25.3125
0,4.87433e-08,-87.8638,28.125
0,5.19116e-08,-87.8638,30.9375
0,5.42322e-08,-87.8638,33.75
0,5.76402e-08,-87.8638,36.5625
0,6.4899e-08,-87.8638,39.375
0,7.21433e-08,-87.8638,42.1875
0,7.30346e-08,-87.8638,45
0,8.12916e-08,-87.8638,47.8125
0,9.16313e-08,-87.8638,50.625
0,1.04738e-07,-87.8638,53.4375
0,1.05882e-07,-87.8638,56.25
0,1.22868e-07,-87.8638,59.0625
0,1.43742e-07,-87.8638,61.875
0,1.67006e-07,-87.8638,64.6875
0,1.65426e-07,-87.8638,67.5
0,1.87192e-07,-87.8638,70.3125
0,2.03118e-07,-87.8638,73.125
0,2.18058e-07,-87.8638,75.9375
0,2.17295e-07,-87.8638,78.75
0,2.25291e-07,-87.8638,81.5625
0,2.29365e-07,-87.8638,84.375
0,2.24936e-07,-87.8638,87.1875
0,2.23139e-07,-87.8638,90
0,2.12417e-07,-87.8638,92.8125
0,1.98359e-07,-87.8638,95.625
0,1.79415e-07,-87.8638,98.4375
0,1.78047e-07,-87.8638,101.25
0,1.59818e-07,-87.8638,104.062
0,1.40494e-07,-87.8638,106.875
0,1.25106e-07,-87.8638,109.688
0,1.24412e-07,-87.8638,112.5
0,1.09366e-07,-87.8638,115.312
0,9.68227e-08,-87.8638,118.125
0,8.57163e-08,-87.8638,120.938
0,8.43804e-08,-87.8638,123.75
0,7.5156e-08,-87.8638,126.562
0,6.85035e-08,-87.8638,129.375
0,6.41527e-08,-87.8638,132.188
0,6.62304e-08,-87.8638,135
0,6.28786e-08,-87.8638,137.812
0,6.15547e-08,-87.8638,140.625
0,6.28671e-08,-87.8638,143.438
0,6.65633e-08,-87.8638,146.25
0,6.91265e-08,-87.8638,149.062
0,7.20474e-08,-87.8638,151.875
0,7.53854e-08,-87.8638,154.688
0,8.04168e-08,-87.8638,157.5
0,8.28249e-08,-87.8638,160.312
0,8.59056e-08,-87.8638,163.125
0,8.99504e-08,-87.8638,165.938
0,9.33226e-08,-87.8638,168.75
0,9.71151e-08,-87.8638,171.562
0,9.72755e-08,-87.8638,174.375
0,9.73308e-08,-87.8638,177.188
0,9.74668e-08,-87.8638,180
0,9.43785e-08,-87.8638,182.812
0,9.19697e-08,-87.8638,185.625
0,8.79926e-08,-87.8638,188.438
0,8.01596e-08,-87.8638,191.25
0,6.19476e-08,-87.8638,194.062
0,5.77463e-08,-87.8638,196.875
0,6.08164e-08,-87.8638,199.688
0,4.94822e-08,-87.8638,202.5
0,5.53266e-08,-87.8638,205.312
0,5.87282e-08,-87.8638,208.125
0,6.33135e-08,-87.8638,210.938
0,6.04171e-08,-87.8638,213.75
0,6.10553e-08,-87.8638,216.562
0,6.47424e-08,-87.8638,219.375
0,7.0292e-08,-87.8638,222.188
0,7.71789e-08,-87.8638,225
0,8.30185e-08,-87.8638,227.812
0,8.55618e-08,-87.8638,230.625
0,8.94382e-08,-87.8638,233.438
0,9.35192e-08,-87.8638,236.25
0,9.6867e-08,-87.8638,239.062
0,1.00871e-07,-87.8638,241.875
0,1.03308e-07,-87.8638,244.688
0,1.06867e-07,-87.8638,247.5
0,1.09469e-07,-87.8638,250.312
0,1.12142e-07,-87.8638,253.125
0,1.15169e-07,-87.8638,255.938
0,1.1937e-07,-87.8638,258.75
0,1.2025e-07,-87.8638,261.562
0,1.2243e-07,-87.8638,264.375
0,1.22675e-07,-87.8638,267.188
0,1.24027e-07,-87.8638,270
0,1.25887e-07,-87.8638,272.812
0,1.27198e-07,-87.8638,275.625
0,1.25916e-07,-87.8638,278.438
0,1.21876e-07,-87.8638,281.25
0,1.18853e-07,-87.8638,284.062
0,1.14255e-07,-87.8638,286.875
0,1.10469e-07,-87.8638,289.688
0,1.05825e-07,-87.8638,292.5
0,1.0101e-07,-87.8638,295.312
0,9.54898e-08,-87.8638,298.125
0,8.94455e-08,-87.8638,300.938
0,8.55314e-08,-87.8638,303.75
0,8.06514e-08,-87.8638,306.562
0,7.62395e-08,-87.8638,309.375
0,7.32849e-08,-87.8638,312.188
0,7.01138e-08,-87.8638,315
0,6.91444e-08,-87.8638,317.812
0,6.77582e-08,-87.8638,320.625
0,6.616e-08,-87.8638,323.438
0,6.53313e-08,-87.8638,326.25
0,6.10983e-08,-87.8638,329.062
0,5.63655e-08,-87.8638,331.875
0,5.51823e-08,-87.8638,334.688
0,5.11254e-08,-87.8638,337.5
0,4.92615e-08,-87.8638,340.312
0,4.38432e-08,-87.8638,343.125
0,4.19019e-08,-87.8638,345.938
0,3.75239e-08,-87.8638,348.75
0,3.26527e-08,-87.8638,351.562
0,2.7961e-08,-87.8638,354.375
0,3.31468e-07,87.8638,357.188
0,3.3321e-07,87.8638,0
0,3.25922e-07,87.8638,2.8125
0,3.2251e-07,87.8638,5.625
0,3.19799e-07,87.8638,8.4375
0,3.15074e-07,87.8638,11.25
0,3.07988e-07,87.8638,14.0625
0,3.06885e-07,87.8638,16.875
0,3.04056e-07,87.8638,19.6875
0,3.00385e-07,87.8638,22.5
0,2.91824e-07,87.8638,25.3125
0,2.83421e-07,87.8638,28.125
0,2.75641e-07,87.8638,30.9375
0,2.68341e-07,87.8638,33.75
0,2.55e-07,87.8638,36.5625
0,2.46929e-07,87.8638,39.375
0,2.39659e-07,87.8638,42.1875
0,2.29819e-07,87.8638,45
0,2.16822e-07,87.8638,47.8125
0,2.1419e-07,87.8638,50.625
0,2.10429e-07,87.8638,53.4375
0,2.05628e-07,87.8638,56.25
0,2.0106e-07,87.8638,59.0625
0,1.9647e-07,87.8638,61.875
0,1.98063e-07,87.8638,64.6875
0,1.99418e-07,87.8638,67.5
0,1.98489e-07,87.8638,70.3125
0,2.04489e-07,87.8638,73.125
0,2.09036e-07,87.8638,75.9375
0,2.13115e-07,87.8638,78.75
0,2.19484e-07,87.8638,81.5625
0,2.25342e-07,87.8638,84.375
0,2.31491e-07,87.8638,87.1875
0,2.3618e-07,87.8638,90
0,2.40161e-07,87.8638,92.8125
0,2.43098e-07,87.8638,95.625
0,2.44153e-07,87.8638,98.4375
0,2.49996e-07,87.8638,101.25
0,2.53035e-07,87.8638,104.062
0,2.57811e-07,87.8638,106.875
0,2.6063e-07,87.8638,109.688
0,2.60535e-07,87.8638,112.5
0,2.67831e-07,87.8638,115.312
0,2.71983e-07,87.8638,118.125
0,2.74939e-07,87.8638,120.938
0,2.76783e-07,87.8638,123.75
0,2.80061e-07,87.8638,126.562
0,2.85931e-07,87.8638,129.375
0,2.91159e-07,87.8638,132.188
0,2.93532e-07,87.8638,135
0,2.97079e-07,87.8638,137.812
0,3.04685e-07,87.8638,140.625
0,3.08543e-07,87.8638,143.438
0,3.11981e-07,87.8638,146.25
0,3.12906e-07,87.8638,149.062
0,3.16104e-07,87.8638,151.875
0,3.16005e-07,87.8638,154.688
0,3.18899e-07,87.8638,157.5
0,3.17915e-07,87.8638,160.312
0,3.19205e-07,87.8638,163.125
0,3.17574e-07,87.8638,165.938
0,3.17197e-07,87.8638,168.75
0,3.14197e-07,87.8638,171.562
0,3.1214e-07,87.8638,174.375
0,3.14153e-07,87.8638,177.188
0,3.13712e-07,87.8638,180
0,3.11123e-07,87.8638,182.812
0,3.09973e-07,87.8638,185.625
0,3.09692e-07,87.8638,188.438
0,3.12391e-07,87.8638,191.25
0,3.06792e-07,87.8638,194.062
0,3.0507e-07,87.8638,196.875
0,3.03459e-07,87.8638,199.688
0,3.03266e-07,87.8638,202.5
0,2.98669e-07,87.8638,205.312
0,2.94634e-07,87.8638,208.125
0,2.89762e-07,87.8638,210.938
0,2.90902e-07,87.8638,213.75
0,2.9128e-07,87.8638,216.562
0,2.85841e-07,87.8638,219.375
0,2.85923e-07,87.8638,222.188
0,2.80399e-07,87.8638,225
0,2.79269e-07,87.8638,227.812
0,2.83293e-07,87.8638,230.625
0,2.87017e-07,87.8638,233.438
0,2.89776e-07,87.8638,236.25
0,2.87445e-07,87.8638,239.062
0,2.96631e-07,87.8638,241.875
0,3.04223e-07,87.8638,244.688
0,3.08069e-07,87.8638,247.5
0,3.12887e-07,87.8638,250.312
0,3.19794e-07,87.8638,253.125
0,3.29122e-07,87.8638,255.938
0,3.34245e-07,87.8638,258.75
0,3.42758e-07,87.8638,261.562
0,3.54379e-07,87.8638,264.375
0,3.61748e-07,87.8638,267.188
0,3.66565e-07,87.8638,270
0,3.73522e-07,87.8638,272.812
0,3.79326e-07,87.8638,275.625
0,3.83348e-07,87.8638,278.438
0,3.81728e-07,87.8638,281.25
0,3.84308e-07,87.8638,284.062
