,coef,lat,lon
0,-5.50136e-08,-87.8638,357.188
0,-5.98636e-08,-87.8638,0
0,-6.35421e-08,-87.8638,2.8125
0,-6.11876e-08,-87.8638,5.625
0,-6.05214e-08,-87.8638,8.4375
0,-6.49497e-08,-87.8638,11.25
0,-6.5324e-08,-87.8638,14.0625
0,-6.87748e-08,-87.8638,16.875
0,-6.45941e-08,-87.8638,19.6875
0,-5.95319e-08,-87.8638,22.5
0,-5.73432e-08,-87.8638,25.3125
0,-5.16396e-08,-87.8638,28.125
0,-4.76045e-08,-87.8638,30.9375
0,-4.28143e-08,-87.8638,33.75
0,-4.50196e-08,-87.8638,36.5625
0,-3.56076e-08,-87.8638,39.375
0,-3.0778e-08,-87.8638,42.1875
0,-3.34602e-08,-87.8638,45
0,-2.19833e-08,-87.8638,47.8125
0,-1.26606e-08,-87.8638,50.625
0,-1.20615e-09,-87.8638,53.4375
0,1.8693e-09,-87.8638,56.25
0,1.53448e-08,-87.8638,59.0625
0,3.40065e-08,-87.8638,61.875
0,5.58593e-08,-87.8638,64.6875
0,5.85627e-08,-87.8638,67.5
0,7.36061e-08,-87.8638,70.3125
0,8.64335e-08,-87.8638,73.125
0,9.89081e-08,-87.8638,75.9375
0,1.01308e-07,-87.8638,78.75
0,1.0849e-07,-87.8638,81.5625
0,1.18057e-07,-87.8638,84.375
0,1.14285e-07,-87.8638,87.1875
0,1.10042e-07,-87.8638,90
0,1.0834e-07,-87.8638,92.8125
0,1.02968e-07,-87.8638,95.625
0,8.68026e-08,-87.8638,98.4375
0,8.9335e-08,-87.8638,101.25
0,7.40755e-08,-87.8638,104.062
0,5.37159e-08,-87.8638,106.875
0,4.2917e-08,-87.8638,109.688
0,4.71515e-08,-87.8638,112.5
0,3.72726e-08,-87.8638,115.312
0,2.87393e-08,-87.8638,118.125
0,1.91718e-08,-87.8638,120.938
0,1.82981e-08,-87.8638,123.75
0,4.76947e-09,-87.8638,126.562
0,-4.22707e-09,-87.8638,129.375
0,-5.89072e-09,-87.8638,132.188
0,-7.37028e-09,-87.8638,135
0,-1.73212e-08,-87.8638,137.812
0,-2.41611e-08,-87.8638,140.625
0,-2.45487e-08,-87.8638,143.438
0,-3.30784e-08,-87.8638,146.25
0,-3.54796e-08,-87.8638,149.062
0,-4.01872e-08,-87.8638,151.875
0,-4.63703e-08,-87.8638,154.688
0,-4.68804e-08,-87.8638,157.5
0,-5.85337e-08,-87.8638,160.312
0,-6.79098e-08,-87.8638,163.125
