,coef,lat,lon
0,0.257617,-87.8638,357.188
0,0.220787,-87.8638,0
0,0.187261,-87.8638,2.8125
0,0.197205,-87.8638,5.625
0,0.197955,-87.8638,8.4375
0,0.162553,-87.8638,11.25
0,0.157392,-87.8638,14.0625
0,0.133088,-87.8638,16.875
0,0.153126,-87.8638,19.6875
0,0.180954,-87.8638,22.5
0,0.19084,-87.8638,25.3125
0,0.230527,-87.8638,28.125
0,0.259806,-87.8638,30.9375
0,0.305455,-87.8638,33.75
0,0.265317,-87.8638,36.5625
0,0.357774,-87.8638,39.375
0,0.420672,-87.8638,42.1875
0,0.378159,-87.8638,45
0,0.564947,-87.8638,47.8125
0,0.760896,-87.8638,50.625
0,0.980513,-87.8638,53.4375
0,0.97006,-87.8638,56.25
0,0.813319,-87.8638,59.0625
0,0.692955,-87.8638,61.875
0,0.613519,-87.8638,64.6875
0,0.600149,-87.8638,67.5
0,0.589187,-87.8638,70.3125
0,0.581855,-87.8638,73.125
0,0.570166,-87.8638,75.9375
0,0.56269,-87.8638,78.75
0,0.557292,-87.8638,81.5625
0,0.531892,-87.8638,84.375
0,0.539043,-87.8638,87.1875
0,0.554197,-87.8638,90
0,0.535855,-87.8638,92.8125
0,0.521457,-87.8638,95.625
0,0.539346,-87.8638,98.4375
0,0.525094,-87.8638,101.25
0,0.539969,-87.8638,104.062
0,0.601971,-87.8638,106.875
0,0.620148,-87.8638,109.688
0,0.584718,-87.8638,112.5
0,0.607569,-87.8638,115.312
0,0.64244,-87.8638,118.125
0,0.719839,-87.8638,120.938
0,0.730706,-87.8638,123.75
0,0.918324,-87.8638,126.562
0,0.921754,-87.8638,129.375
0,0.885674,-87.8638,132.188
0,0.859755,-87.8638,135
0,0.680762,-87.8638,137.812
0,0.575923,-87.8638,140.625
0,0.568756,-87.8638,143.438
0,0.461343,-87.8638,146.25
0,0.446184,-87.8638,149.062
0,0.408699,-87.8638,151.875
0,0.346413,-87.8638,154.688
0,0.339632,-87.8638,157.5
0,0.236967,-87.8638,160.312
0,0.180599,-87.8638,163.125
0,0.151507,-87.8638,165.938
0,0.114855,-87.8638,168.75
0,0.0969011,-87.8638,171.562
0,0.0733556,-87.8638,174.375
0,0.0474562,-87.8638,177.188
0,0.0358343,-87.8638,180
0,0.029429,-87.8638,182.812
0,0.0205804,-87.8638,185.625
0,0.018619,-87.8638,188.438
0,0.0218415,-87.8638,191.25
0,0.0587732,-87.8638,194.062
0,0.0523227,-87.8638,196.875
0,0.0405193,-87.8638,199.688
0,0.0499448,-87.8638,202.5
0,0.0309712,-87.8638,205.312
0,0.0176427,-87.8638,208.125
0,0.0172808,-87.8638,210.938
0,0.0208253,-87.8638,213.75
0,0.0248388,-87.8638,216.562
0,0.0299695,-87.8638,219.375
0,0.0325452,-87.8638,222.188
0,0.0343809,-87.8638,225
0,0.0394363,-87.8638,227.812
0,0.0430357,-87.8638,230.625
0,0.0434693,-87.8638,233.438
0,0.0433147,-87.8638,236.25
0,0.0495421,-87.8638,239.062
0,0.0432295,-87.8638,241.875
0,0.0374977,-87.8638,244.688
0,0.0382044,-87.8638,247.5
0,0.0426822,-87.8638,250.312
0,0.042579,-87.8638,253.125
0,0.0444715,-87.8638,255.938
0,0.0336008,-87.8638,258.75
0,0.0306371,-87.8638,261.562
0,0.0323392,-87.8638,264.375
0,0.0344522,-87.8638,267.188
0,0.0389144,-87.8638,270
0,0.058472,-87.8638,272.812
0,0.08809,-87.8638,275.625
0,0.113238,-87.8638,278.438
0,0.115587,-87.8638,281.25
0,0.135425,-87.8638,284.062
0,0.154929,-87.8638,286.875
0,0.178387,-87.8638,289.688
0,0.196512,-87.8638,292.5
0,0.222964,-87.8638,295.312
0,0.237772,-87.8638,298.125
0,0.240276,-87.8638,300.938
0,0.265437,-87.8638,303.75
0,0.296012,-87.8638,306.562
0,0.291445,-87.8638,309.375
0,0.327333,-87.8638,312.188
0,0.369776,-87.8638,315
0,0.412787,-87.8638,317.812
0,0.43015,-87.8638,320.625
0,0.49917,-87.8638,323.438
0,0.587908,-87.8638,326.25
0,0.539596,-87.8638,329.062
0,0.533516,-87.8638,331.875
0,0.574871,-87.8638,334.688
0,0.577177,-87.8638,337.5
0,0.610349,-87.8638,340.312
0,0.573361,-87.8638,343.125
0,0.512805,-87.8638,345.938
0,0.454375,-87.8638,348.75
0,0.34506,-87.8638,351.562
0,0.269328,-87.8638,354.375
0,0.500093,87.8638,357.188
0,0.570103,87.8638,0
0,0.545633,87.8638,2.8125
0,0.534803,87.8638,5.625
0,0.550291,87.8638,8.4375
0,0.59752,87.8638,11.25
0,0.59639,87.8638,14.0625
0,0.567775,87.8638,16.875
0,0.530663,87.8638,19.6875
0,0.52056,87.8638,22.5
0,0.483719,87.8638,25.3125
0,0.453498,87.8638,28.125
0,0.437154,87.8638,30.9375
0,0.406874,87.8638,33.75
0,0.398346,87.8638,36.5625
0,0.404847,87.8638,39.375
0,0.38743,87.8638,42.1875
0,0.35766,87.8638,45
0,0.345785,87.8638,47.8125
0,0.373001,87.8638,50.625
0,0.391705,87.8638,53.4375
0,0.408019,87.8638,56.25
0,0.423513,87.8638,59.0625
0,0.434231,87.8638,61.875
0,0.47532,87.8638,64.6875
0,0.487961,87.8638,67.5
0,0.49186,87.8638,70.3125
0,0.522629,87.8638,73.125
0,0.553889,87.8638,75.9375
