,coef,lat,lon
0,1.60545e-08,-87.8638,357.188
0,1.85907e-08,-87.8638,0
0,1.97833e-08,-87.8638,2.8125
0,1.45121e-08,-87.8638,5.625
0,9.37566e-09,-87.8638,8.4375
0,8.12046e-09,-87.8638,11.25
0,5.47263e-09,-87.8638,14.0625
0,1.11742e-08,-87.8638,16.875
0,9.18655e-09,-87.8638,19.6875
0,7.43e-09,-87.8638,22.5
0,1.0812e-08,-87.8638,25.3125
0,1.52741e-08,-87.8638,28.125
0,1.90801e-08,-87.8638,30.9375
0,1.93378e-08,-87.8638,33.75
0,2.69816e-08,-87.8638,36.5625
0,2.61174e-08,-87.8638,39.375
0,2.97665e-08,-87.8638,42.1875
0,3.43227e-08,-87.8638,45
0,3.2363e-08,-87.8638,47.8125
0,3.32383e-08,-87.8638,50.625
0,3.42806e-08,-87.8638,53.4375
0,3.26233e-08,-87.8638,56.25
0,3.43581e-08,-87.8638,59.0625
0,3.37108e-08,-87.8638,61.875
0,3.1774e-08,-87.8638,64.6875
0,2.30582e-08,-87.8638,67.5
0,2.61481e-08,-87.8638,70.3125
0,2.62614e-08,-87.8638,73.125
0,2.46885e-08,-87.8638,75.9375
0,2.04299e-08,-87.8638,78.75
0,2.51804e-08,-87.8638,81.5625
0,2.16079e-08,-87.8638,84.375
0,2.25112e-08,-87.8638,87.1875
0,2.67759e-08,-87.8638,90
0,1.95841e-08,-87.8638,92.8125
0,1.45929e-08,-87.8638,95.625
0,1.46728e-08,-87.8638,98.4375
0,1.22799e-08,-87.8638,101.25
0,7.89579e-09,-87.8638,104.062
0,9.47875e-09,-87.8638,106.875
0,4.20615e-09,-87.8638,109.688
0,-1.46415e-09,-87.8638,112.5
0,-7.70817e-09,-87.8638,115.312
0,-1.3066e-08,-87.8638,118.125
0,-1.76363e-08,-87.8638,120.938
0,-2.18388e-08,-87.8638,123.75
0,-2.15979e-08,-87.8638,126.562
0,-2.25435e-08,-87.8638,129.375
0,-2.98531e-08,-87.8638,132.188
0,-2.87874e-08,-87.8638,135
0,-2.97603e-08,-87.8638,137.812
0,-2.88559e-08,-87.8638,140.625
0,-3.44485e-08,-87.8638,143.438
0,-3.02481e-08,-87.8638,146.25
0,-3.16893e-08,-87.8638,149.062
0,-3.03254e-08,-87.8638,151.875
0,-3.0971e-08,-87.8638,154.688
0,-3.6627e-08,-87.8638,157.5
0,-3.59766e-08,-87.8638,160.312
0,-3.56362e-08,-87.8638,163.125
0,-3.28586e-08,-87.8638,165.938
0,-3.49168e-08,-87.8638,168.75
0,-3.77628e-08,-87.8638,171.562
0,-5.09823e-08,-87.8638,174.375
0,-5.65071e-08,-87.8638,177.188
0,-6.68222e-08,-87.8638,180
0,-8.44116e-08,-87.8638,182.812
0,-1.04532e-07,-87.8638,185.625
0,-1.30508e-07,-87.8638,188.438
0,-1.68407e-07,-87.8638,191.25
0,-2.25783e-07,-87.8638,194.062
0,-2.31521e-07,-87.8638,196.875
0,-2.26498e-07,-87.8638,199.688
0,-2.39547e-07,-87.8638,202.5
0,-2.23441e-07,-87.8638,205.312
0,-1.93209e-07,-87.8638,208.125
0,-1.65763e-07,-87.8638,210.938
0,-1.55232e-07,-87.8638,213.75
0,-1.4053e-07,-87.8638,216.562
0,-1.2604e-07,-87.8638,219.375
0,-1.07569e-07,-87.8638,222.188
0,-9.31144e-08,-87.8638,225
0,-7.74423e-08,-87.8638,227.812
0,-6.80294e-08,-87.8638,230.625
0,-6.26503e-08,-87.8638,233.438
0,-5.68346e-08,-87.8638,236.25
0,-5.8111e-08,-87.8638,239.062
0,-4.52543e-08,-87.8638,241.875
0,-3.59894e-08,-87.8638,244.688
0,-2.90624e-08,-87.8638,247.5
0,-2.75475e-08,-87.8638,250.312
0,-2.792e-08,-87.8638,253.125
0,-3.0647e-08,-87.8638,255.938
0,-2.53971e-08,-87.8638,258.75
0,-2.07002e-08,-87.8638,261.562
0,-2.12193e-08,-87.8638,264.375
0,-2.18136e-08,-87.8638,267.188
0,-2.51918e-08,-87.8638,270
0,-2.74858e-08,-87.8638,272.812
0,-3.12553e-08,-87.8638,275.625
0,-3.07252e-08,-87.8638,278.438
0,-2.51132e-08,-87.8638,281.25
0,-2.14288e-08,-87.8638,284.062
0,-2.08796e-08,-87.8638,286.875
0,-2.33518e-08,-87.8638,289.688
0,-2.42133e-08,-87.8638,292.5
0,-3.18618e-08,-87.8638,295.312
0,-3.77743e-08,-87.8638,298.125
0,-4.00006e-08,-87.8638,300.938
0,-3.75082e-08,-87.8638,303.75
0,-3.90469e-08,-87.8638,306.562
0,-3.1252e-08,-87.8638,309.375
0,-2.73685e-08,-87.8638,312.188
0,-2.3393e-08,-87.8638,315
0,-1.3931e-08,-87.8638,317.812
0,-4.02381e-09,-87.8638,320.625
0,4.95407e-10,-87.8638,323.438
0,1.34116e-09,-87.8638,326.25
0,8.90216e-09,-87.8638,329.062
0,1.52498e-08,-87.8638,331.875
0,2.04729e-08,-87.8638,334.688
0,2.50231e-08,-87.8638,337.5
0,2.35866e-08,-87.8638,340.312
0,2.34439e-08,-87.8638,343.125
0,2.73745e-08,-87.8638,345.938
0,2.7459e-08,-87.8638,348.75
0,2.12945e-08,-87.8638,351.562
0,1.929e-08,-87.8638,354.375
0,3.28573e-09,87.8638,357.188
0,1.41135e-08,87.8638,0
0,-8.38163e-09,87.8638,2.8125
0,-2.05048e-08,87.8638,5.625
0,-2.38882e-08,87.8638,8.4375
0,-2.6253e-08,87.8638,11.25
0,-5.44445e-08,87.8638,14.0625
0,-8.14473e-08,87.8638,16.875
0,-1.06735e-07,87.8638,19.6875
0,-1.23862e-07,87.8638,22.5
0,-1.37608e-07,87.8638,25.3125
0,-1.65347e-07,87.8638,28.125
0,-1.9409e-07,87.8638,30.9375
0,-2.16237e-07,87.8638,33.75
0,-2.43243e-07,87.8638,36.5625
0,-2.5631e-07,87.8638,39.375
0,-2.70284e-07,87.8638,42.1875
0,-2.79726e-07,87.8638,45
0,-3.04158e-07,87.8638,47.8125
0,-3.00025e-07,87.8638,50.625
0,-3.0007e-07,87.8638,53.4375
0,-2.98408e-07,87.8638,56.25
0,-3.04723e-07,87.8638,59.0625
0,-2.87822e-07,87.8638,61.875
0,-2.74467e-07,87.8638,64.6875
0,-2.51065e-07,87.8638,67.5
0,-2.29339e-07,87.8638,70.3125
0,-2.09561e-07,87.8638,73.125
0,-1.91362e-07,87.8638,75.9375
0,-1.74342e-07,87.8638,78.75
0,-1.5169e-07,87.8638,81.5625
0,-1.25188e-07,87.8638,84.375
0,-1.20533e-07,87.8638,87.1875
0,-1.12449e-07,87.8638,90
0,-9.90062e-08,87.8638,92.8125
0,-8.21019e-08,87.8638,95.625
0,-8.18485e-08,87.8638,98.4375
0,-7.88313e-08,87.8638,101.25
0,-7.48053e-08,87.8638,104.062
0,-7.29216e-08,87.8638,106.875
0,-7.17712e-08,87.8638,109.688
0,-6.80768e-08,87.8638,112.5
0,-6.62951e-08,87.8638,115.312
0,-6.43252e-08,87.8638,118.125
0,-5.72617e-08,87.8638,120.938
0,-5.77691e-08,87.8638,123.75
0,-6.45025e-08,87.8638,126.562
0,-6.56209e-08,87.8638,129.375
0,-6.45602e-08,87.8638,132.188
0,-6.00349e-08,87.8638,135
0,-6.1716e-08,87.8638,137.812
0,-6.76087e-08,87.8638,140.625
0,-7.30549e-08,87.8638,143.438
0,-7.33421e-08,87.8638,146.25
0,-6.81523e-08,87.8638,149.062
0,-7.46725e-08,87.8638,151.875
0,-8.00316e-08,87.8638,154.688
0,-7.84739e-08,87.8638,157.5
0,-6.86041e-08,87.8638,160.312
0,-6.14694e-08,87.8638,163.125
0,-6.48771e-08,87.8638,165.938
0,-6.31813e-08,87.8638,168.75
0,-5.94324e-08,87.8638,171.562
0,-5.47664e-08,87.8638,174.375
0,-4.42328e-08,87.8638,177.188
0,-2.8472e-08,87.8638,180
0,-1.34829e-08,87.8638,182.812
0,-3.1297e-09,87.8638,185.625
0,8.43315e-09,87.8638,188.438
0,2.01705e-08,87.8638,191.25
0,2.48243e-08,87.8638,194.062
0,2.8645e-08,87.8638,196.875
0,3.68914e-08,87.8638,199.688
0,5.02636e-08,87.8638,202.5
0,4.73651e-08,87.8638,205.312
0,4.31006e-08,87.8638,208.125
0,4.15609e-08,87.8638,210.938
0,3.96014e-08,87.8638,213.75
0,3.83441e-08,87.8638,216.562
0,3.26958e-08,87.8638,219.375
0,1.89441e-08,87.8638,222.188
0,5.60933e-09,87.8638,225
0,-3.89041e-09,87.8638,227.812
0,-6.997e-09,87.8638,230.625
0,-1.55837e-08,87.8638,233.438
0,-1.90933e-08,87.8638,236.25
0,-3.35897e-08,87.8638,239.062
0,-2.48686e-08,87.8638,241.875
0,-6.20628e-09,87.8638,244.688
0,1.33136e-08,87.8638,247.5
0,2.05054e-08,87.8638,250.312
0,3.16395e-08,87.8638,253.125
0,5.56756e-08,87.8638,255.938
0,7.24645e-08,87.8638,258.75
0,7.76684e-08,87.8638,261.562
0,1.02692e-07,87.8638,264.375
0,1.10985e-07,87.8638,267.188
0,1.23243e-07,87.8638,270
0,1.39955e-07,87.8638,272.812
0,1.62585e-07,87.8638,275.625
0,1.55215e-07,87.8638,278.438
0,1.54406e-07,87.8638,281.25
