,coef,lat,lon
0,0.74512,-87.8638,357.188
0,0.707679,-87.8638,0
0,0.684813,-87.8638,2.8125
0,0.76238,-87.8638,5.625
0,0.843618,-87.8638,8.4375
0,0.862401,-87.8638,11.25
0,0.90633,-87.8638,14.0625
0,0.807977,-87.8638,16.875
0,0.840023,-87.8638,19.6875
0,0.868604,-87.8638,22.5
0,0.80719,-87.8638,25.3125
0,0.726678,-87.8638,28.125
0,0.657118,-87.8638,30.9375
0,0.650032,-87.8638,33.75
0,0.513004,-87.8638,36.5625
0,0.510623,-87.8638,39.375
0,0.449292,-87.8638,42.1875
0,0.380195,-87.8638,45
0,0.412714,-87.8638,47.8125
0,0.440742,-87.8638,50.625
0,0.502651,-87.8638,53.4375
0,0.526824,-87.8638,56.25
0,0.608651,-87.8638,59.0625
0,0.703965,-87.8638,61.875
0,0.779918,-87.8638,64.6875
0,0.840795,-87.8638,67.5
0,0.851849,-87.8638,70.3125
0,0.870578,-87.8638,73.125
0,0.890198,-87.8638,75.9375
0,0.909453,-87.8638,78.75
0,0.894419,-87.8638,81.5625
0,0.911184,-87.8638,84.375
0,0.906118,-87.8638,87.1875
0,0.888476,-87.8638,90
0,0.913128,-87.8638,92.8125
0,0.929396,-87.8638,95.625
0,0.919441,-87.8638,98.4375
0,0.932116,-87.8638,101.25
0,0.949224,-87.8638,104.062
0,0.928599,-87.8638,106.875
0,0.962288,-87.8638,109.688
0,0.986812,-87.8638,112.5
0,0.917654,-87.8638,115.312
0,0.837339,-87.8638,118.125
0,0.748698,-87.8638,120.938
0,0.690232,-87.8638,123.75
0,0.652906,-87.8638,126.562
0,0.61215,-87.8638,129.375
0,0.481818,-87.8638,132.188
0,0.504997,-87.8638,135
0,0.494128,-87.8638,137.812
0,0.51723,-87.8638,140.625
0,0.439075,-87.8638,143.438
0,0.512662,-87.8638,146.25
0,0.508273,-87.8638,149.062
0,0.543619,-87.8638,151.875
0,0.539185,-87.8638,154.688
0,0.466996,-87.8638,157.5
0,0.475916,-87.8638,160.312
0,0.488613,-87.8638,163.125
0,0.532872,-87.8638,165.938
0,0.514904,-87.8638,168.75
0,0.49747,-87.8638,171.562
0,0.368493,-87.8638,174.375
0,0.343808,-87.8638,177.188
0,0.277473,-87.8638,180
0,0.202965,-87.8638,182.812
0,0.131721,-87.8638,185.625
0,0.0774869,-87.8638,188.438
0,0.0402001,-87.8638,191.25
0,0.0396186,-87.8638,194.062
0,0.0402553,-87.8638,196.875
0,0.0332344,-87.8638,199.688
0,0.0272962,-87.8638,202.5
0,0.021704,-87.8638,205.312
0,0.018512,-87.8638,208.125
0,0.0273394,-87.8638,210.938
0,0.033169,-87.8638,213.75
0,0.0473773,-87.8638,216.562
0,0.0688993,-87.8638,219.375
0,0.112752,-87.8638,222.188
0,0.168145,-87.8638,225
0,0.236485,-87.8638,227.812
0,0.288895,-87.8638,230.625
0,0.318768,-87.8638,233.438
0,0.359991,-87.8638,236.25
0,0.351691,-87.8638,239.062
0,0.460722,-87.8638,241.875
0,0.54992,-87.8638,244.688
0,0.636339,-87.8638,247.5
0,0.653309,-87.8638,250.312
0,0.651514,-87.8638,253.125
0,0.626444,-87.8638,255.938
0,0.683001,-87.8638,258.75
0,0.739979,-87.8638,261.562
0,0.732171,-87.8638,264.375
0,0.725441,-87.8638,267.188
0,0.688953,-87.8638,270
0,0.666222,-87.8638,272.812
0,0.630965,-87.8638,275.625
0,0.642665,-87.8638,278.438
0,0.711349,-87.8638,281.25
0,0.756026,-87.8638,284.062
0,0.767574,-87.8638,286.875
0,0.745609,-87.8638,289.688
0,0.740369,-87.8638,292.5
0,0.666483,-87.8638,295.312
0,0.611442,-87.8638,298.125
0,0.589607,-87.8638,300.938
0,0.611143,-87.8638,303.75
0,0.5957,-87.8638,306.562
0,0.666111,-87.8638,309.375
0,0.698481,-87.8638,312.188
0,0.733241,-87.8638,315
0,0.834488,-87.8638,317.812
0,0.950239,-87.8638,320.625
0,0.993735,-87.8638,323.438
0,0.982569,-87.8638,326.25
0,0.881516,-87.8638,329.062
0,0.794374,-87.8638,331.875
0,0.720305,-87.8638,334.688
0,0.652488,-87.8638,337.5
0,0.665403,-87.8638,340.312
0,0.660332,-87.8638,343.125
0,0.599103,-87.8638,345.938
0,0.59179,-87.8638,348.75
0,0.675519,-87.8638,351.562
0,0.700221,-87.8638,354.375
0,0.984284,87.8638,357.188
0,0.93197,87.8638,0
0,0.959949,87.8638,2.8125
0,0.903016,87.8638,5.625
0,0.888256,87.8638,8.4375
0,0.879011,87.8638,11.25
0,0.754586,87.8638,14.0625
0,0.64619,87.8638,16.875
0,0.552384,87.8638,19.6875
0,0.499553,87.8638,22.5
0,0.467148,87.8638,25.3125
0,0.397644,87.8638,28.125
0,0.337393,87.8638,30.9375
0,0.304062,87.8638,33.75
0,0.26393,87.8638,36.5625
0,0.249113,87.8638,39.375
0,0.238002,87.8638,42.1875
0,0.238356,87.8638,45
0,0.220357,87.8638,47.8125
0,0.222259,87.8638,50.625
0,0.222502,87.8638,53.4375
0,0.228996,87.8638,56.25
0,0.225186,87.8638,59.0625
0,0.249735,87.8638,61.875
0,0.264365,87.8638,64.6875
0,0.303833,87.8638,67.5
0,0.342382,87.8638,70.3125
0,0.382778,87.8638,73.125
0,0.422275,87.8638,75.9375
0,0.461491,87.8638,78.75
0,0.519835,87.8638,81.5625
0,0.593244,87.8638,84.375
0,0.606419,87.8638,87.1875
0,0.62861,87.8638,90
0,0.671109,87.8638,92.8125
0,0.725443,87.8638,95.625
0,0.72637,87.8638,98.4375
0,0.736208,87.8638,101.25
0,0.748856,87.8638,104.062
0,0.75414,87.8638,106.875
0,0.756124,87.8638,109.688
0,0.769416,87.8638,112.5
0,0.773687,87.8638,115.312
0,0.778147,87.8638,118.125
0,0.800255,87.8638,120.938
0,0.797169,87.8638,123.75
0,0.770641,87.8638,126.562
0,0.764482,87.8638,129.375
0,0.766513,87.8638,132.188
0,0.782006,87.8638,135
0,0.773592,87.8638,137.812
0,0.749841,87.8638,140.625
0,0.72851,87.8638,143.438
0,0.724576,87.8638,146.25
0,0.742218,87.8638,149.062
0,0.714978,87.8638,151.875
0,0.693205,87.8638,154.688
0,0.695059,87.8638,157.5
0,0.728506,87.8638,160.312
0,0.753802,87.8638,163.125
0,0.736357,87.8638,165.938
0,0.740824,87.8638,168.75
0,0.748999,87.8638,171.562
0,0.762488,87.8638,174.375
0,0.803736,87.8638,177.188
0,0.872447,87.8638,180
0,0.939111,87.8638,182.812
0,0.985613,87.8638,185.625
0,0.960574,87.8638,188.438
0,0.903748,87.8638,191.25
0,0.881432,87.8638,194.062
0,0.862423,87.8638,196.875
0,0.821696,87.8638,199.688
0,0.756471,87.8638,202.5
0,0.766581,87.8638,205.312
0,0.787696,87.8638,208.125
0,0.795575,87.8638,210.938
0,0.803456,87.8638,213.75
0,0.807943,87.8638,216.562
0,0.840016,87.8638,219.375
0,0.908339,87.8638,222.188
0,0.973409,87.8638,225
0,0.982076,87.8638,227.812
0,0.967802,87.8638,230.625
0,0.929359,87.8638,233.438
0,0.915648,87.8638,236.25
0,0.857828,87.8638,239.062
0,0.892057,87.8638,241.875
0,0.972024,87.8638,244.688
0,0.939127,87.8638,247.5
0,0.905599,87.8638,250.312
0,0.852519,87.8638,253.125
0,0.731722,87.8638,255.938
0,0.643058,87.8638,258.75
0,0.599845,87.8638,261.562
0,0.47864,87.8638,264.375
0,0.439141,87.8638,267.188
0,0.38468,87.8638,270
0,0.320181,87.8638,272.812
0,0.246987,87.8638,275.625
0,0.267662,87.8638,278.438
0,0.272263,87.8638,281.25
0,0.266511,87.8638,284.062
0,0.241757,87.8638,286.875
0,0.259369,87.8638,289.688
0,0.294081,87.8638,292.5
0,0.350127,87.8638,295.312
0,0.409094,87.8638,298.125
0,0.476748,87.8638,300.938
0,0.612022,87.8638,303.75
0,0.735024,87.8638,306.562
0,0.824797,87.8638,309.375
0,0.919387,87.8638,312.188
0,0.948775,87.8638,315
0,0.963564,87.8638,317.812
0,0.856423,87.8638,320.625
0,0.735488,87.8638,323.438
0,0.746866,87.8638,326.25
0,0.789315,87.8638,329.062
0,0.788378,87.8638,331.875
0,0.758666,87.8638,334.688
0,0.769627,87.8638,337.5
0,0.840782,87.8638,340.312
0,0.888157,87.8638,343.125
0,0.935885,87.8638,345.938
0,0.927598,87.8638,348.75
0,0.981436,87.8638,351.562
0,0.997155,87.8638,354.375
0,0.419269,85.0965,357.188
0,0.393333,85.0965,0
0,0.33173,85.0965,2.8125
0,0.271786,85.0965,5.625
0,0.245768,85.0965,8.4375
0,0.236187,85.0965,11.25
0,0.211755,85.0965,14.0625
0,0.213724,85.0965,16.875
0,0.224278,85.0965,19.6875
0,0.230305,85.0965,22.5
0,0.247986,85.0965,25.3125
0,0.251412,85.0965,28.125
0,0.263539,85.0965,30.9375
0,0.284629,85.0965,33.75
0,0.273586,85.0965,36.5625
0,0.260691,85.0965,39.375
0,0.251535,85.0965,42.1875
0,0.236214,85.0965,45
0,0.23041,85.0965,47.8125
0,0.220303,85.0965,50.625
0,0.206361,85.0965,53.4375
0,0.212645,85.0965,56.25
0,0.228798,85.0965,59.0625
0,0.234459,85.0965,61.875
0,0.246971,85.0965,64.6875
0,0.264219,85.0965,67.5
0,0.30192,85.0965,70.3125
0,0.316071,85.0965,73.125
0,0.336926,85.0965,75.9375
0,0.353142,85.0965,78.75
0,0.448363,85.0965,81.5625
0,0.494262,85.0965,84.375
0,0.531647,85.0965,87.1875
0,0.576598,85.0965,90
0,0.648198,85.0965,92.8125
0,0.6923,85.0965,95.625
0,0.751893,85.0965,98.4375
0,0.848783,85.0965,101.25
0,0.909464,85.0965,104.062
0,0.959899,85.0965,106.875
0,0.984509,85.0965,109.688
0,0.894381,85.0965,112.5
0,0.891167,85.0965,115.312
0,0.893709,85.0965,118.125
0,0.920075,85.0965,120.938
0,0.991085,85.0965,123.75
0,0.945746,85.0965,126.562
0,0.913076,85.0965,129.375
0,0.866525,85.0965,132.188
0,0.785976,85.0965,135
0,0.831277,85.0965,137.812
0,0.849509,85.0965,140.625
0,0.877535,85.0965,143.438
0,0.92632,85.0965,146.25
0,0.940862,85.0965,149.062
0,0.940177,85.0965,151.875
0,0.927463,85.0965,154.688
0,0.900997,85.0965,157.5
0,0.969299,85.0965,160.312
0,0.982017,85.0965,163.125
0,0.910177,85.0965,165.938
0,0.861782,85.0965,168.75
0,0.796061,85.0965,171.562
0,0.759627,85.0965,174.375
0,0.766584,85.0965,177.188
0,0.739548,85.0965,180
0,0.798555,85.0965,182.812
0,0.811329,85.0965,185.625
0,0.823713,85.0965,188.438
0,0.802039,85.0965,191.25
0,0.823574,85.0965,194.062
0,0.818999,85.0965,196.875
0,0.78836,85.0965,199.688
0,0.782847,85.0965,202.5
0,0.78348,85.0965,205.312
0,0.774225,85.0965,208.125
0,0.743084,85.0965,210.938
0,0.760703,85.0965,213.75
0,0.79497,85.0965,216.562
0,0.790486,85.0965,219.375
0,0.79546,85.0965,222.188
0,0.836539,85.0965,225
0,0.822206,85.0965,227.812
0,0.811412,85.0965,230.625
0,0.805303,85.0965,233.438
0,0.819735,85.0965,236.25
0,0.833135,85.0965,239.062
0,0.840316,85.0965,241.875
0,0.8438,85.0965,244.688
0,0.82312,85.0965,247.5
0,0.877326,85.0965,250.312
0,0.93107,85.0965,253.125
0,0.983284,85.0965,255.938
0,0.976589,85.0965,258.75
0,0.85193,85.0965,261.562
0,0.832002,85.0965,264.375
0,0.836406,85.0965,267.188
0,0.862526,85.0965,270
0,0.980242,85.0965,272.812
0,0.978326,85.0965,275.625
0,0.928125,85.0965,278.438
0,0.970818,85.0965,281.25
0,0.867577,85.0965,284.062
0,0.716288,85.0965,286.875
0,0.557939,85.0965,289.688
0,0.463934,85.0965,292.5
0,0.421889,85.0965,295.312
0,0.41585,85.0965,298.125
0,0.498343,85.0965,300.938
0,0.5741,85.0965,303.75
0,0.640983,85.0965,306.562
0,0.709322,85.0965,309.375
0,0.804205,85.0965,312.188
0,0.797822,85.0965,315
0,0.730701,85.0965,317.812
0,0.668335,85.0965,320.625
0,0.57766,85.0965,323.438
0,0.482884,85.0965,326.25
0,0.403528,85.0965,329.062
0,0.340828,85.0965,331.875
0,0.311602,85.0965,334.688
0,0.268095,85.0965,337.5
0,0.306682,85.0965,340.312
0,0.386975,85.0965,343.125
0,0.448172,85.0965,345.938
0,0.467261,85.0965,348.75
0,0.515305,85.0965,351.562
0,0.524834,85.0965,354.375
0,0.719733,82.3129,357.188
0,0.708025,82.3129,0
0,0.380493,82.3129,2.8125
0,0.130311,82.3129,5.625
0,0.0726448,82.3129,8.4375
0,0.071752,82.3129,11.25
0,0.0721662,82.3129,14.0625
0,0.0888739,82.3129,16.875
0,0.0917468,82.3129,19.6875
0,0.0849668,82.3129,22.5
0,0.0925112,82.3129,25.3125
0,0.0966656,82.3129,28.125
0,0.131003,82.3129,30.9375
0,0.177395,82.3129,33.75
0,0.188841,82.3129,36.5625
0,0.206165,82.3129,39.375
0,0.196279,82.3129,42.1875
0,0.168898,82.3129,45
0,0.146805,82.3129,47.8125
0,0.134471,82.3129,50.625
0,0.160712,82.3129,53.4375
0,0.197163,82.3129,56.25
0,0.247995,82.3129,59.0625
0,0.317425,82.3129,61.875
0,0.351587,82.3129,64.6875
0,0.355209,82.3129,67.5
0,0.333913,82.3129,70.3125
0,0.319551,82.3129,73.125
0,0.324956,82.3129,75.9375
0,0.367316,82.3129,78.75
0,0.398495,82.3129,81.5625
0,0.487828,82.3129,84.375
0,0.530336,82.3129,87.1875
0,0.552896,82.3129,90
0,0.555485,82.3129,92.8125
0,0.536937,82.3129,95.625
0,0.609049,82.3129,98.4375
0,0.674251,82.3129,101.25
0,0.791769,82.3129,104.062
0,0.928526,82.3129,106.875
0,0.962958,82.3129,109.688
0,0.990574,82.3129,112.5
0,0.929636,82.3129,115.312
0,0.933171,82.3129,118.125
0,0.914949,82.3129,120.938
0,0.873119,82.3129,123.75
0,0.851664,82.3129,126.562
0,0.823621,82.3129,129.375
0,0.90457,82.3129,132.188
0,0.991584,82.3129,135
0,0.980411,82.3129,137.812
0,0.98184,82.3129,140.625
0,0.87545,82.3129,143.438
0,0.789949,82.3129,146.25
0,0.792256,82.3129,149.062
0,0.789198,82.3129,151.875
0,0.828402,82.3129,154.688
0,0.894482,82.3129,157.5
0,0.817755,82.3129,160.312
0,0.695699,82.3129,163.125
0,0.613626,82.3129,165.938
0,0.502918,82.3129,168.75
0,0.501821,82.3129,171.562
0,0.514182,82.3129,174.375
0,0.570631,82.3129,177.188
0,0.591839,82.3129,180
0,0.509509,82.3129,182.812
0,0.447134,82.3129,185.625
0,0.364117,82.3129,188.438
0,0.258748,82.3129,191.25
0,0.253534,82.3129,194.062
0,0.272613,82.3129,196.875
0,0.325681,82.3129,199.688
0,0.414355,82.3129,202.5
0,0.435017,82.3129,205.312
0,0.43729,82.3129,208.125
0,0.448558,82.3129,210.938
0,0.429286,82.3129,213.75
0,0.483462,82.3129,216.562
0,0.533299,82.3129,219.375
0,0.580749,82.3129,222.188
0,0.58707,82.3129,225
0,0.598983,82.3129,227.812
0,0.566729,82.3129,230.625
0,0.540693,82.3129,233.438
0,0.55987,82.3129,236.25
0,0.60118,82.3129,239.062
0,0.65898,82.3129,241.875
0,0.691588,82.3129,244.688
0,0.696107,82.3129,247.5
0,0.726366,82.3129,250.312
0,0.719065,82.3129,253.125
0,0.676578,82.3129,255.938
0,0.631754,82.3129,258.75
0,0.370289,82.3129,261.562
0,0.315388,82.3129,264.375
0,0.287353,82.3129,267.188
0,0.253435,82.3129,270
0,0.149182,82.3129,272.812
0,0.0850181,82.3129,275.625
0,0.0642651,82.3129,278.438
0,0.109644,82.3129,281.25
0,0.140391,82.3129,284.062
0,0.214949,82.3129,286.875
0,0.298013,82.3129,289.688
0,0.546097,82.3129,292.5
0,0.540662,82.3129,295.312
0,0.280716,82.3129,298.125
0,0.268786,82.3129,300.938
0,0.145471,82.3129,303.75
0,0.0407623,82.3129,306.562
0,0.0403979,82.3129,309.375
0,0.0452738,82.3129,312.188
0,0.0620977,82.3129,315
