,coef,lat,lon
0,0.471936,76.7369,2.8125
0,0.545013,76.7369,5.625
0,0.276674,73.9475,357.188
0,0.303149,73.9475,0
0,0.314832,73.9475,2.8125
0,0.28919,73.9475,5.625
0,0.330077,73.9475,8.4375
0,0.383841,73.9475,11.25
0,0.33116,73.9475,14.0625
0,0.345154,73.9475,16.875
0,0.373292,73.9475,19.6875
0,0.259021,73.9475,351.562
0,0.263743,73.9475,354.375
0,0.330555,71.1578,357.188
0,0.326891,71.1578,0
0,0.325834,71.1578,2.8125
0,0.318737,71.1578,5.625
0,0.331508,71.1578,8.4375
0,0.279922,71.1578,11.25
0,0.269288,71.1578,14.0625
0,0.294943,71.1578,16.875
0,0.256281,71.1578,345.938
0,0.282822,71.1578,348.75
0,0.32647,71.1578,351.562
0,0.331337,71.1578,354.375
0,0.407679,68.3678,357.188
0,0.321153,68.3678,0
0,0.283064,68.3678,2.8125
0,0.267815,68.3678,5.625
0,0.260295,68.3678,8.4375
0,0.615709,68.3678,303.75
0,0.462926,68.3678,340.312
0,0.613347,68.3678,343.125
0,0.595319,68.3678,345.938
0,0.508456,68.3678,348.75
0,0.50174,68.3678,351.562
0,0.495581,68.3678,354.375
0,0.29822,65.5776,357.188
0,0.283357,65.5776,0
0,0.137269,65.5776,2.8125
0,0.234347,65.5776,5.625
0,0.422029,65.5776,8.4375
0,0.648129,65.5776,300.938
0,0.386138,65.5776,303.75
0,0.288667,65.5776,348.75
0,0.229648,65.5776,351.562
0,0.253437,65.5776,354.375
0,0.162527,62.7874,357.188
0,0.168642,62.7874,0
0,0.225779,62.7874,2.8125
0,0.0920739,62.7874,182.812
0,0.0511114,62.7874,185.625
0,0.0805259,62.7874,191.25
0,0.506885,62.7874,298.125
0,0.503612,62.7874,300.938
0,0.447845,62.7874,303.75
0,0.416137,62.7874,306.562
0,0.465921,62.7874,323.438
0,0.400531,62.7874,326.25
0,0.257443,62.7874,329.062
0,0.187247,62.7874,331.875
0,0.144011,62.7874,334.688
0,0.149608,62.7874,337.5
0,0.118992,62.7874,343.125
0,0.122234,62.7874,345.938
0,0.106395,62.7874,348.75
0,0.119986,62.7874,354.375
0,0.122982,59.997,0
0,0.235408,59.997,2.8125
0,0.25185,59.997,174.375
0,0.283929,59.997,177.188
0,0.273083,59.997,180
0,0.290489,59.997,182.812
0,0.325712,59.997,185.625
0,0.205528,59.997,188.438
0,0.520388,59.997,300.938
0,0.416618,59.997,303.75
0,0.444986,59.997,306.562
0,0.465493,59.997,309.375
0,0.581155,59.997,320.625
0,0.497096,59.997,323.438
