,coef,lat,lon
0,3.48278e-05,-87.8638,357.188
0,3.62818e-05,-87.8638,0
0,2.93517e-05,-87.8638,2.8125
0,2.02131e-05,-87.8638,5.625
0,1.56098e-05,-87.8638,8.4375
0,1.0797e-05,-87.8638,11.25
0,8.19104e-06,-87.8638,14.0625
0,7.80345e-06,-87.8638,16.875
0,5.70589e-06,-87.8638,19.6875
0,3.87419e-06,-87.8638,22.5
0,2.9802e-06,-87.8638,25.3125
0,2.37247e-06,-87.8638,28.125
0,1.67549e-06,-87.8638,30.9375
0,1.33897e-06,-87.8638,33.75
0,7.89786e-07,-87.8638,36.5625
0,3.20542e-07,-87.8638,39.375
0,2.11542e-07,-87.8638,42.1875
0,1.91815e-07,-87.8638,45
0,1.17284e-07,-87.8638,47.8125
0,2.2492e-07,-87.8638,50.625
0,1.40067e-06,-87.8638,53.4375
0,1.44864e-06,-87.8638,56.25
0,2.05152e-05,-87.8638,59.0625
0,0.000233385,-87.8638,61.875
0,0.00123671,-87.8638,64.6875
0,0.00123606,-87.8638,67.5
0,0.00376465,-87.8638,70.3125
0,0.00749072,-87.8638,73.125
0,0.0118085,-87.8638,75.9375
0,0.0124779,-87.8638,78.75
0,0.0151226,-87.8638,81.5625
0,0.016149,-87.8638,84.375
0,0.0163313,-87.8638,87.1875
0,0.0177825,-87.8638,90
0,0.0142229,-87.8638,92.8125
0,0.0101064,-87.8638,95.625
0,0.00610309,-87.8638,98.4375
0,0.00604939,-87.8638,101.25
0,0.00295882,-87.8638,104.062
0,0.00131924,-87.8638,106.875
0,0.000408802,-87.8638,109.688
0,0.000383884,-87.8638,112.5
0,7.86398e-05,-87.8638,115.312
0,1.67602e-05,-87.8638,118.125
0,3.4246e-06,-87.8638,120.938
0,2.75493e-06,-87.8638,123.75
0,6.70642e-07,-87.8638,126.562
0,2.92269e-07,-87.8638,129.375
0,1.464e-07,-87.8638,132.188
0,1.75758e-07,-87.8638,135
0,2.56971e-07,-87.8638,137.812
0,3.96422e-07,-87.8638,140.625
0,3.79534e-07,-87.8638,143.438
0,6.46313e-07,-87.8638,146.25
0,9.23664e-07,-87.8638,149.062
0,1.5068e-06,-87.8638,151.875
0,1.52011e-06,-87.8638,154.688
0,1.09201e-06,-87.8638,157.5
0,8.62219e-07,-87.8638,160.312
0,9.94553e-07,-87.8638,163.125
0,1.09864e-06,-87.8638,165.938
0,1.08754e-06,-87.8638,168.75
0,1.02822e-06,-87.8638,171.562
0,6.2134e-07,-87.8638,174.375
0,9.51036e-07,-87.8638,177.188
0,8.35076e-07,-87.8638,180
0,1.75397e-06,-87.8638,182.812
0,1.68836e-06,-87.8638,185.625
0,2.02658e-06,-87.8638,188.438
0,3.4733e-06,-87.8638,191.25
0,3.92358e-05,-87.8638,194.062
0,5.94313e-05,-87.8638,196.875
0,4.23387e-05,-87.8638,199.688
0,3.70392e-05,-87.8638,202.5
0,2.18796e-05,-87.8638,205.312
0,5.42175e-06,-87.8638,208.125
0,5.67123e-06,-87.8638,210.938
0,5.70216e-06,-87.8638,213.75
0,5.55019e-06,-87.8638,216.562
0,4.54146e-06,-87.8638,219.375
0,3.8143e-06,-87.8638,222.188
0,3.89016e-06,-87.8638,225
0,2.8199e-06,-87.8638,227.812
0,2.17056e-06,-87.8638,230.625
0,1.39059e-06,-87.8638,233.438
0,1.01871e-06,-87.8638,236.25
0,8.29656e-07,-87.8638,239.062
0,8.13901e-07,-87.8638,241.875
0,5.7492e-07,-87.8638,244.688
0,7.44488e-07,-87.8638,247.5
0,6.83026e-07,-87.8638,250.312
0,6.83409e-07,-87.8638,253.125
0,1.04273e-06,-87.8638,255.938
0,1.24996e-06,-87.8638,258.75
0,1.77044e-06,-87.8638,261.562
0,2.44251e-06,-87.8638,264.375
0,3.18577e-06,-87.8638,267.188
0,5.75322e-06,-87.8638,270
0,9.43638e-06,-87.8638,272.812
0,1.87217e-05,-87.8638,275.625
0,3.43764e-05,-87.8638,278.438
0,7.13584e-05,-87.8638,281.25
0,0.000131655,-87.8638,284.062
0,0.000193537,-87.8638,286.875
0,0.000305284,-87.8638,289.688
0,0.00041098,-87.8638,292.5
0,0.000405683,-87.8638,295.312
0,0.000424318,-87.8638,298.125
0,0.000451885,-87.8638,300.938
0,0.000533472,-87.8638,303.75
0,0.000560005,-87.8638,306.562
0,0.000617986,-87.8638,309.375
0,0.000535268,-87.8638,312.188
0,0.000458031,-87.8638,315
0,0.000391216,-87.8638,317.812
0,0.000403524,-87.8638,320.625
0,0.000333663,-87.8638,323.438
0,0.000300166,-87.8638,326.25
0,0.000253677,-87.8638,329.062
0,0.000248427,-87.8638,331.875
0,0.000207532,-87.8638,334.688
0,0.000142204,-87.8638,337.5
0,0.000104757,-87.8638,340.312
0,7.85628e-05,-87.8638,343.125
0,5.56634e-05,-87.8638,345.938
0,4.2e-05,-87.8638,348.75
0,4.87687e-05,-87.8638,351.562
0,4.61516e-05,-87.8638,354.375
0,2.89553e-11,87.8638,357.188
0,2.40551e-11,87.8638,0
0,2.31634e-11,87.8638,2.8125
0,2.30358e-11,87.8638,5.625
0,2.46396e-11,87.8638,8.4375
0,2.87637e-11,87.8638,11.25
0,2.72297e-11,87.8638,14.0625
0,3.25758e-11,87.8638,16.875
0,3.46726e-11,87.8638,19.6875
0,4.28857e-11,87.8638,22.5
0,6.31958e-11,87.8638,25.3125
0,8.60564e-11,87.8638,28.125
0,1.23534e-10,87.8638,30.9375
0,2.09782e-10,87.8638,33.75
0,2.95032e-10,87.8638,36.5625
0,3.63034e-10,87.8638,39.375
0,5.34774e-10,87.8638,42.1875
0,8.68502e-10,87.8638,45
0,1.5533e-09,87.8638,47.8125
0,1.23293e-09,87.8638,50.625
0,1.14046e-09,87.8638,53.4375
0,1.28613e-09,87.8638,56.25
0,1.45725e-09,87.8638,59.0625
0,1.35898e-09,87.8638,61.875
0,1.03096e-09,87.8638,64.6875
0,1.02064e-09,87.8638,67.5
0,8.47391e-10,87.8638,70.3125
0,8.00063e-10,87.8638,73.125
0,7.55491e-10,87.8638,75.9375
0,7.03053e-10,87.8638,78.75
0,6.83183e-10,87.8638,81.5625
0,6.85621e-10,87.8638,84.375
0,6.66184e-10,87.8638,87.1875
0,6.18338e-10,87.8638,90
0,7.53537e-10,87.8638,92.8125
0,8.71158e-10,87.8638,95.625
0,8.48041e-10,87.8638,98.4375
0,8.90522e-10,87.8638,101.25
0,8.96492e-10,87.8638,104.062
0,8.53982e-10,87.8638,106.875
0,7.35612e-10,87.8638,109.688
0,8.42986e-10,87.8638,112.5
0,7.81829e-10,87.8638,115.312
0,6.68814e-10,87.8638,118.125
0,5.84472e-10,87.8638,120.938
0,5.43146e-10,87.8638,123.75
0,3.96361e-10,87.8638,126.562
0,3.24381e-10,87.8638,129.375
0,2.87447e-10,87.8638,132.188
0,3.01354e-10,87.8638,135
0,2.45519e-10,87.8638,137.812
0,2.03861e-10,87.8638,140.625
0,1.79571e-10,87.8638,143.438
0,1.53547e-10,87.8638,146.25
0,1.56953e-10,87.8638,149.062
0,1.32768e-10,87.8638,151.875
0,1.20337e-10,87.8638,154.688
0,1.0849e-10,87.8638,157.5
0,9.63017e-11,87.8638,160.312
0,9.80561e-11,87.8638,163.125
0,7.5835e-11,87.8638,165.938
0,7.32482e-11,87.8638,168.75
0,4.89725e-11,87.8638,171.562
0,3.30903e-11,87.8638,174.375
0,2.71619e-11,87.8638,177.188
0,2.94377e-11,87.8638,180
0,3.09946e-11,87.8638,182.812
0,2.44926e-11,87.8638,185.625
0,2.01801e-11,87.8638,188.438
0,1.48962e-11,87.8638,191.25
0,1.49912e-11,87.8638,194.062
0,1.42857e-11,87.8638,196.875
0,1.27969e-11,87.8638,199.688
0,1.17613e-11,87.8638,202.5
0,8.7799e-12,87.8638,205.312
0,9.69332e-12,87.8638,208.125
0,1.07916e-11,87.8638,210.938
0,9.85665e-12,87.8638,213.75
0,8.97478e-12,87.8638,216.562
0,1.50248e-11,87.8638,219.375
0,2.09867e-11,87.8638,222.188
0,3.1918e-11,87.8638,225
0,5.45713e-11,87.8638,227.812
0,5.58291e-11,87.8638,230.625
0,6.97543e-11,87.8638,233.438
0,1.14993e-10,87.8638,236.25
0,2.17161e-10,87.8638,239.062
0,1.50057e-10,87.8638,241.875
0,8.79693e-11,87.8638,244.688
0,7.35437e-11,87.8638,247.5
0,6.4731e-11,87.8638,250.312
0,4.98145e-11,87.8638,253.125
0,2.29303e-11,87.8638,255.938
0,1.26955e-11,87.8638,258.75
0,4.90928e-12,87.8638,261.562
0,3.41006e-12,87.8638,264.375
0,2.66999e-12,87.8638,267.188
0,2.34388e-12,87.8638,270
0,1.89611e-12,87.8638,272.812
0,1.6618e-12,87.8638,275.625
0,1.62774e-12,87.8638,278.438
0,1.78334e-12,87.8638,281.25
0,1.66541e-12,87.8638,284.062
0,1.72293e-12,87.8638,286.875
0,2.19451e-12,87.8638,289.688
0,3.10717e-12,87.8638,292.5
0,2.97101e-12,87.8638,295.312
0,3.11708e-12,87.8638,298.125
0,3.86929e-12,87.8638,300.938
0,4.96653e-12,87.8638,303.75
