,coef,lat,lon
0,0.0681925,-87.8638,357.188
0,0.0816931,-87.8638,0
0,0.0916877,-87.8638,2.8125
0,0.08662,-87.8638,5.625
0,0.0855051,-87.8638,8.4375
0,0.0970599,-87.8638,11.25
0,0.0989773,-87.8638,14.0625
0,0.110669,-87.8638,16.875
0,0.101709,-87.8638,19.6875
0,0.091814,-87.8638,22.5
0,0.0895802,-87.8638,25.3125
0,0.0800676,-87.8638,28.125
0,0.0764602,-87.8638,30.9375
0,0.0690311,-87.8638,33.75
0,0.089486,-87.8638,36.5625
0,0.083825,-87.8638,39.375
0,0.0972442,-87.8638,42.1875
0,0.115794,-87.8638,45
0,0.11156,-87.8638,47.8125
0,0.12029,-87.8638,50.625
0,0.127509,-87.8638,53.4375
0,0.121298,-87.8638,56.25
0,0.120142,-87.8638,59.0625
0,0.118517,-87.8638,61.875
0,0.111967,-87.8638,64.6875
0,0.108176,-87.8638,67.5
0,0.105803,-87.8638,70.3125
0,0.10461,-87.8638,73.125
0,0.10281,-87.8638,75.9375
0,0.101838,-87.8638,78.75
0,0.103512,-87.8638,81.5625
0,0.103539,-87.8638,84.375
0,0.105158,-87.8638,87.1875
0,0.105973,-87.8638,90
0,0.107258,-87.8638,92.8125
0,0.106994,-87.8638,95.625
0,0.108862,-87.8638,98.4375
0,0.109944,-87.8638,101.25
0,0.113725,-87.8638,104.062
0,0.116792,-87.8638,106.875
0,0.119386,-87.8638,109.688
0,0.122583,-87.8638,112.5
0,0.11952,-87.8638,115.312
0,0.116574,-87.8638,118.125
0,0.112546,-87.8638,120.938
0,0.115316,-87.8638,123.75
0,0.115679,-87.8638,126.562
0,0.10859,-87.8638,129.375
0,0.10003,-87.8638,132.188
0,0.0978135,-87.8638,135
0,0.102634,-87.8638,137.812
0,0.0973565,-87.8638,140.625
0,0.0965029,-87.8638,143.438
0,0.111501,-87.8638,146.25
0,0.11021,-87.8638,149.062
0,0.111149,-87.8638,151.875
0,0.126741,-87.8638,154.688
0,0.140603,-87.8638,157.5
0,0.168641,-87.8638,160.312
0,0.189788,-87.8638,163.125
0,0.201,-87.8638,165.938
0,0.220472,-87.8638,168.75
