,coef,lat,lon
0,1.60785e-08,-87.8638,357.188
0,1.18012e-08,-87.8638,0
0,9.85434e-09,-87.8638,2.8125
0,1.30007e-08,-87.8638,5.625
0,1.20415e-08,-87.8638,8.4375
0,1.12942e-08,-87.8638,11.25
0,1.09481e-08,-87.8638,14.0625
0,5.19603e-09,-87.8638,16.875
0,6.70988e-09,-87.8638,19.6875
0,7.48401e-09,-87.8638,22.5
0,3.71832e-09,-87.8638,25.3125
0,1.90343e-09,-87.8638,28.125
0,3.67088e-10,-87.8638,30.9375
0,-2.07433e-10,-87.8638,33.75
0,-1.08911e-08,-87.8638,36.5625
0,-1.89331e-08,-87.8638,39.375
0,-3.0939e-08,-87.8638,42.1875
0,-3.55984e-08,-87.8638,45
0,-4.62196e-08,-87.8638,47.8125
0,-6.56981e-08,-87.8638,50.625
0,-9.1591e-08,-87.8638,53.4375
0,-9.04939e-08,-87.8638,56.25
0,-1.2678e-07,-87.8638,59.0625
0,-1.72227e-07,-87.8638,61.875
0,-2.16281e-07,-87.8638,64.6875
0,-2.15245e-07,-87.8638,67.5
0,-2.63006e-07,-87.8638,70.3125
0,-3.0332e-07,-87.8638,73.125
0,-3.34143e-07,-87.8638,75.9375
0,-3.34164e-07,-87.8638,78.75
0,-3.59562e-07,-87.8638,81.5625
0,-3.64934e-07,-87.8638,84.375
0,-3.64192e-07,-87.8638,87.1875
0,-3.68958e-07,-87.8638,90
0,-3.47857e-07,-87.8638,92.8125
0,-3.17431e-07,-87.8638,95.625
0,-2.85719e-07,-87.8638,98.4375
0,-2.84986e-07,-87.8638,101.25
0,-2.52302e-07,-87.8638,104.062
0,-2.23659e-07,-87.8638,106.875
0,-1.92055e-07,-87.8638,109.688
0,-1.92805e-07,-87.8638,112.5
0,-1.61924e-07,-87.8638,115.312
0,-1.3699e-07,-87.8638,118.125
0,-1.16488e-07,-87.8638,120.938
0,-1.16681e-07,-87.8638,123.75
0,-1.02612e-07,-87.8638,126.562
0,-8.93368e-08,-87.8638,129.375
0,-7.42569e-08,-87.8638,132.188
0,-7.48531e-08,-87.8638,135
0,-7.20559e-08,-87.8638,137.812
0,-6.58774e-08,-87.8638,140.625
0,-5.54568e-08,-87.8638,143.438
0,-6.42417e-08,-87.8638,146.25
0,-6.07625e-08,-87.8638,149.062
0,-5.93941e-08,-87.8638,151.875
0,-6.00276e-08,-87.8638,154.688
0,-5.83926e-08,-87.8638,157.5
0,-6.08894e-08,-87.8638,160.312
0,-6.32083e-08,-87.8638,163.125
0,-6.53765e-08,-87.8638,165.938
0,-6.51353e-08,-87.8638,168.75
0,-7.49307e-08,-87.8638,171.562
0,-7.35534e-08,-87.8638,174.375
0,-8.49297e-08,-87.8638,177.188
0,-8.81603e-08,-87.8638,180
0,-9.19386e-08,-87.8638,182.812
0,-9.39046e-08,-87.8638,185.625
0,-9.34674e-08,-87.8638,188.438
0,-8.82459e-08,-87.8638,191.25
0,-7.96702e-08,-87.8638,194.062
0,-8.21681e-08,-87.8638,196.875
0,-8.07963e-08,-87.8638,199.688
0,-6.91965e-08,-87.8638,202.5
0,-6.30257e-08,-87.8638,205.312
0,-5.65747e-08,-87.8638,208.125
0,-5.49313e-08,-87.8638,210.938
0,-5.9399e-08,-87.8638,213.75
0,-6.39138e-08,-87.8638,216.562
0,-6.70348e-08,-87.8638,219.375
0,-7.53255e-08,-87.8638,222.188
0,-7.9639e-08,-87.8638,225
0,-8.45709e-08,-87.8638,227.812
0,-8.8516e-08,-87.8638,230.625
0,-8.89772e-08,-87.8638,233.438
0,-8.93832e-08,-87.8638,236.25
0,-8.67329e-08,-87.8638,239.062
0,-9.56722e-08,-87.8638,241.875
0,-9.3781e-08,-87.8638,244.688
0,-9.6966e-08,-87.8638,247.5
0,-9.40642e-08,-87.8638,250.312
0,-9.01965e-08,-87.8638,253.125
0,-8.34646e-08,-87.8638,255.938
0,-8.49969e-08,-87.8638,258.75
0,-8.48776e-08,-87.8638,261.562
0,-8.04445e-08,-87.8638,264.375
0,-7.34031e-08,-87.8638,267.188
0,-7.318e-08,-87.8638,270
0,-6.59672e-08,-87.8638,272.812
0,-5.75482e-08,-87.8638,275.625
0,-4.96984e-08,-87.8638,278.438
0,-4.87987e-08,-87.8638,281.25
0,-4.68657e-08,-87.8638,284.062
0,-3.84942e-08,-87.8638,286.875
0,-3.33855e-08,-87.8638,289.688
0,-2.61495e-08,-87.8638,292.5
0,-1.90663e-08,-87.8638,295.312
0,-1.45749e-08,-87.8638,298.125
0,-9.67176e-09,-87.8638,300.938
0,-5.08049e-09,-87.8638,303.75
0,1.29442e-09,-87.8638,306.562
0,1.4268e-10,-87.8638,309.375
0,3.86974e-09,-87.8638,312.188
0,4.50861e-09,-87.8638,315
0,4.37227e-09,-87.8638,317.812
0,3.08488e-10,-87.8638,320.625
0,3.51684e-09,-87.8638,323.438
0,4.57851e-09,-87.8638,326.25
0,-9.99667e-10,-87.8638,329.062
0,-3.82426e-09,-87.8638,331.875
0,-2.92656e-09,-87.8638,334.688
0,1.91773e-09,-87.8638,337.5
0,5.60356e-09,-87.8638,340.312
0,7.39222e-09,-87.8638,343.125
0,7.69914e-09,-87.8638,345.938
0,1.1306e-08,-87.8638,348.75
0,1.37076e-08,-87.8638,351.562
0,1.33193e-08,-87.8638,354.375
0,-1.93385e-07,87.8638,357.188
0,-1.92762e-07,87.8638,0
0,-1.90034e-07,87.8638,2.8125
0,-1.89827e-07,87.8638,5.625
0,-1.97096e-07,87.8638,8.4375
0,-1.9071e-07,87.8638,11.25
0,-1.77587e-07,87.8638,14.0625
0,-1.78075e-07,87.8638,16.875
0,-1.74444e-07,87.8638,19.6875
0,-1.69956e-07,87.8638,22.5
0,-1.62474e-07,87.8638,25.3125
0,-1.50933e-07,87.8638,28.125
0,-1.38916e-07,87.8638,30.9375
0,-1.28796e-07,87.8638,33.75
0,-1.03056e-07,87.8638,36.5625
0,-8.66379e-08,87.8638,39.375
0,-8.63137e-08,87.8638,42.1875
0,-8.05003e-08,87.8638,45
0,-5.52496e-08,87.8638,47.8125
0,-4.80365e-08,87.8638,50.625
0,-3.80071e-08,87.8638,53.4375
0,-3.00468e-08,87.8638,56.25
0,-1.5235e-08,87.8638,59.0625
0,-7.84818e-09,87.8638,61.875
0,2.87008e-09,87.8638,64.6875
0,3.69227e-09,87.8638,67.5
0,5.97683e-09,87.8638,70.3125
0,6.62263e-09,87.8638,73.125
0,7.65927e-10,87.8638,75.9375
0,1.91423e-09,87.8638,78.75
0,6.06624e-09,87.8638,81.5625
0,2.61079e-09,87.8638,84.375
0,4.65647e-09,87.8638,87.1875
0,-3.35818e-09,87.8638,90
0,-1.34376e-08,87.8638,92.8125
0,-1.22486e-08,87.8638,95.625
0,-8.37712e-09,87.8638,98.4375
0,-2.08052e-08,87.8638,101.25
0,-2.72827e-08,87.8638,104.062
0,-2.97816e-08,87.8638,106.875
0,-2.72527e-08,87.8638,109.688
0,-2.34351e-08,87.8638,112.5
0,-4.74633e-08,87.8638,115.312
0,-5.85359e-08,87.8638,118.125
0,-6.70889e-08,87.8638,120.938
0,-7.15175e-08,87.8638,123.75
0,-7.55974e-08,87.8638,126.562
0,-8.65098e-08,87.8638,129.375
0,-9.22956e-08,87.8638,132.188
0,-1.01453e-07,87.8638,135
0,-1.09612e-07,87.8638,137.812
0,-1.19342e-07,87.8638,140.625
0,-1.29319e-07,87.8638,143.438
0,-1.39837e-07,87.8638,146.25
0,-1.51434e-07,87.8638,149.062
0,-1.51475e-07,87.8638,151.875
