,coef,lat,lon
0,0.836564,-87.8638,357.188
0,0.880271,-87.8638,0
0,0.898233,-87.8638,2.8125
0,0.864298,-87.8638,5.625
0,0.873338,-87.8638,8.4375
0,0.879516,-87.8638,11.25
0,0.882413,-87.8638,14.0625
0,0.943417,-87.8638,16.875
0,0.926328,-87.8638,19.6875
0,0.91695,-87.8638,22.5
0,0.9582,-87.8638,25.3125
0,0.978359,-87.8638,28.125
0,0.995765,-87.8638,30.9375
0,0.997592,-87.8638,33.75
0,0.869898,-87.8638,36.5625
0,0.769534,-87.8638,39.375
0,0.630576,-87.8638,42.1875
0,0.576624,-87.8638,45
0,0.477225,-87.8638,47.8125
0,0.354885,-87.8638,50.625
0,0.273639,-87.8638,53.4375
0,0.28449,-87.8638,56.25
0,0.243494,-87.8638,59.0625
0,0.226195,-87.8638,61.875
0,0.233429,-87.8638,64.6875
0,0.240152,-87.8638,67.5
0,0.237325,-87.8638,70.3125
0,0.235186,-87.8638,73.125
0,0.237972,-87.8638,75.9375
0,0.240028,-87.8638,78.75
0,0.230673,-87.8638,81.5625
0,0.233572,-87.8638,84.375
0,0.227326,-87.8638,87.1875
0,0.221011,-87.8638,90
0,0.219993,-87.8638,92.8125
0,0.222987,-87.8638,95.625
0,0.213316,-87.8638,98.4375
0,0.211542,-87.8638,101.25
0,0.198998,-87.8638,104.062
0,0.182055,-87.8638,106.875
0,0.174294,-87.8638,109.688
0,0.170701,-87.8638,112.5
0,0.173389,-87.8638,115.312
0,0.179041,-87.8638,118.125
0,0.188063,-87.8638,120.938
0,0.184732,-87.8638,123.75
0,0.18406,-87.8638,126.562
0,0.212645,-87.8638,129.375
0,0.279651,-87.8638,132.188
0,0.285053,-87.8638,135
0,0.305239,-87.8638,137.812
0,0.359692,-87.8638,140.625
0,0.442073,-87.8638,143.438
0,0.389699,-87.8638,146.25
0,0.432961,-87.8638,149.062
0,0.462089,-87.8638,151.875
0,0.462086,-87.8638,154.688
0,0.475027,-87.8638,157.5
0,0.457117,-87.8638,160.312
0,0.448558,-87.8638,163.125
0,0.444432,-87.8638,165.938
0,0.454471,-87.8638,168.75
0,0.406986,-87.8638,171.562
0,0.423447,-87.8638,174.375
0,0.376658,-87.8638,177.188
0,0.371678,-87.8638,180
0,0.381809,-87.8638,182.812
0,0.3889,-87.8638,185.625
0,0.415282,-87.8638,188.438
0,0.481231,-87.8638,191.25
0,0.631424,-87.8638,194.062
0,0.629784,-87.8638,196.875
0,0.613647,-87.8638,199.688
0,0.670048,-87.8638,202.5
0,0.663815,-87.8638,205.312
0,0.642663,-87.8638,208.125
0,0.625673,-87.8638,210.938
0,0.587234,-87.8638,213.75
0,0.550831,-87.8638,216.562
0,0.5261,-87.8638,219.375
0,0.471941,-87.8638,222.188
0,0.450196,-87.8638,225
0,0.412415,-87.8638,227.812
0,0.384426,-87.8638,230.625
0,0.375727,-87.8638,233.438
0,0.371834,-87.8638,236.25
0,0.391746,-87.8638,239.062
0,0.339982,-87.8638,241.875
0,0.344684,-87.8638,244.688
0,0.340672,-87.8638,247.5
0,0.357028,-87.8638,250.312
0,0.38385,-87.8638,253.125
0,0.430887,-87.8638,255.938
0,0.419482,-87.8638,258.75
0,0.421643,-87.8638,261.562
0,0.445236,-87.8638,264.375
0,0.487881,-87.8638,267.188
0,0.494448,-87.8638,270
0,0.543646,-87.8638,272.812
0,0.603451,-87.8638,275.625
0,0.65825,-87.8638,278.438
0,0.668875,-87.8638,281.25
0,0.684239,-87.8638,284.062
0,0.742849,-87.8638,286.875
0,0.778797,-87.8638,289.688
0,0.827667,-87.8638,292.5
0,0.874889,-87.8638,295.312
0,0.904272,-87.8638,298.125
0,0.935946,-87.8638,300.938
0,0.966041,-87.8638,303.75
0,0.991294,-87.8638,306.562
0,0.999023,-87.8638,309.375
0,0.972815,-87.8638,312.188
0,0.967376,-87.8638,315
0,0.967459,-87.8638,317.812
0,0.997624,-87.8638,320.625
0,0.972318,-87.8638,323.438
0,0.962964,-87.8638,326.25
0,0.991661,-87.8638,329.062
0,0.967335,-87.8638,331.875
0,0.974386,-87.8638,334.688
0,0.982692,-87.8638,337.5
0,0.948486,-87.8638,340.312
0,0.93038,-87.8638,343.125
0,0.925601,-87.8638,345.938
0,0.888907,-87.8638,348.75
0,0.864408,-87.8638,351.562
0,0.866043,-87.8638,354.375
0,0.482487,87.8638,357.188
0,0.479637,87.8638,0
0,0.489668,87.8638,2.8125
0,0.493233,87.8638,5.625
0,0.480483,87.8638,8.4375
0,0.499421,87.8638,11.25
0,0.532906,87.8638,14.0625
0,0.53893,87.8638,16.875
0,0.551068,87.8638,19.6875
0,0.568284,87.8638,22.5
0,0.595044,87.8638,25.3125
0,0.631254,87.8638,28.125
0,0.668117,87.8638,30.9375
0,0.701263,87.8638,33.75
0,0.765373,87.8638,36.5625
0,0.805404,87.8638,39.375
0,0.811028,87.8638,42.1875
0,0.829119,87.8638,45
0,0.886914,87.8638,47.8125
0,0.900552,87.8638,50.625
0,0.921191,87.8638,53.4375
0,0.938107,87.8638,56.25
0,0.968951,87.8638,59.0625
0,0.983919,87.8638,61.875
0,0.994019,87.8638,64.6875
0,0.992258,87.8638,67.5
0,0.987324,87.8638,70.3125
0,0.985884,87.8638,73.125
0,0.998357,87.8638,75.9375
0,0.995865,87.8638,78.75
0,0.986842,87.8638,81.5625
0,0.994306,87.8638,84.375
0,0.989835,87.8638,87.1875
0,0.992626,87.8638,90
0,0.970586,87.8638,92.8125
0,0.973248,87.8638,95.625
0,0.981709,87.8638,98.4375
0,0.954682,87.8638,101.25
0,0.940509,87.8638,104.062
0,0.934888,87.8638,106.875
0,0.939991,87.8638,109.688
0,0.948654,87.8638,112.5
0,0.895651,87.8638,115.312
0,0.870422,87.8638,118.125
0,0.850554,87.8638,120.938
0,0.839861,87.8638,123.75
0,0.828439,87.8638,126.562
0,0.802634,87.8638,129.375
0,0.7886,87.8638,132.188
0,0.767887,87.8638,135
0,0.747338,87.8638,137.812
0,0.723341,87.8638,140.625
0,0.699492,87.8638,143.438
0,0.673391,87.8638,146.25
0,0.646504,87.8638,149.062
0,0.642769,87.8638,151.875
0,0.633878,87.8638,154.688
0,0.609833,87.8638,157.5
0,0.588272,87.8638,160.312
0,0.554917,87.8638,163.125
0,0.559362,87.8638,165.938
0,0.560308,87.8638,168.75
0,0.514493,87.8638,171.562
0,0.509548,87.8638,174.375
0,0.468812,87.8638,177.188
0,0.44656,87.8638,180
0,0.436888,87.8638,182.812
0,0.424381,87.8638,185.625
0,0.412427,87.8638,188.438
0,0.393353,87.8638,191.25
0,0.3945,87.8638,194.062
0,0.390764,87.8638,196.875
0,0.382407,87.8638,199.688
0,0.36411,87.8638,202.5
0,0.372167,87.8638,205.312
0,0.382944,87.8638,208.125
0,0.405194,87.8638,210.938
0,0.414084,87.8638,213.75
0,0.409392,87.8638,216.562
0,0.413778,87.8638,219.375
0,0.414298,87.8638,222.188
0,0.444157,87.8638,225
0,0.436213,87.8638,227.812
0,0.421755,87.8638,230.625
0,0.421831,87.8638,233.438
0,0.41843,87.8638,236.25
0,0.431434,87.8638,239.062
0,0.401685,87.8638,241.875
0,0.368573,87.8638,244.688
0,0.348386,87.8638,247.5
0,0.332082,87.8638,250.312
0,0.309071,87.8638,253.125
0,0.275328,87.8638,255.938
0,0.255813,87.8638,258.75
0,0.225719,87.8638,261.562
0,0.194245,87.8638,264.375
0,0.177013,87.8638,267.188
0,0.166174,87.8638,270
0,0.147737,87.8638,272.812
0,0.124992,87.8638,275.625
0,0.126613,87.8638,278.438
0,0.138819,87.8638,281.25
0,0.138613,87.8638,284.062
0,0.135686,87.8638,286.875
0,0.146041,87.8638,289.688
0,0.1519,87.8638,292.5
0,0.166771,87.8638,295.312
0,0.19345,87.8638,298.125
0,0.224793,87.8638,300.938
0,0.251763,87.8638,303.75
0,0.296701,87.8638,306.562
0,0.357377,87.8638,309.375
0,0.433544,87.8638,312.188
0,0.438302,87.8638,315
0,0.499355,87.8638,317.812
0,0.556739,87.8638,320.625
0,0.598442,87.8638,323.438
0,0.577939,87.8638,326.25
0,0.569847,87.8638,329.062
0,0.586029,87.8638,331.875
0,0.601954,87.8638,334.688
0,0.590801,87.8638,337.5
0,0.584752,87.8638,340.312
0,0.568606,87.8638,343.125
0,0.555335,87.8638,345.938
0,0.553819,87.8638,348.75
0,0.532685,87.8638,351.562
0,0.502769,87.8638,354.375
0,0.321952,85.0965,357.188
0,0.322458,85.0965,0
0,0.338661,85.0965,2.8125
0,0.345111,85.0965,5.625
0,0.385452,85.0965,8.4375
0,0.409349,85.0965,11.25
0,0.464298,85.0965,14.0625
0,0.493909,85.0965,16.875
0,0.561604,85.0965,19.6875
0,0.60185,85.0965,22.5
0,0.658564,85.0965,25.3125
0,0.722583,85.0965,28.125
0,0.782334,85.0965,30.9375
0,0.804623,85.0965,33.75
0,0.81788,85.0965,36.5625
0,0.837784,85.0965,39.375
0,0.854284,85.0965,42.1875
0,0.855925,85.0965,45
0,0.83892,85.0965,47.8125
0,0.839465,85.0965,50.625
0,0.841287,85.0965,53.4375
0,0.816379,85.0965,56.25
0,0.844256,85.0965,59.0625
0,0.842142,85.0965,61.875
0,0.81524,85.0965,64.6875
0,0.826924,85.0965,67.5
0,0.832318,85.0965,70.3125
0,0.890168,85.0965,73.125
0,0.94706,85.0965,75.9375
0,0.990545,85.0965,78.75
0,0.984989,85.0965,81.5625
0,0.943123,85.0965,84.375
0,0.932675,85.0965,87.1875
0,0.932363,85.0965,90
0,0.9171,85.0965,92.8125
0,0.926537,85.0965,95.625
0,0.938419,85.0965,98.4375
0,0.937546,85.0965,101.25
0,0.964006,85.0965,104.062
0,0.974706,85.0965,106.875
0,0.969515,85.0965,109.688
0,0.974513,85.0965,112.5
0,0.972753,85.0965,115.312
0,0.947607,85.0965,118.125
0,0.941231,85.0965,120.938
0,0.953341,85.0965,123.75
0,0.969891,85.0965,126.562
