,coef,lat,lon
0,-5.36184e-08,-87.8638,357.188
0,-5.90145e-08,-87.8638,0
0,-6.3024e-08,-87.8638,2.8125
0,-6.05222e-08,-87.8638,5.625
0,-6.02244e-08,-87.8638,8.4375
0,-6.48472e-08,-87.8638,11.25
0,-6.53336e-08,-87.8638,14.0625
0,-6.94756e-08,-87.8638,16.875
0,-6.5183e-08,-87.8638,19.6875
0,-6.01381e-08,-87.8638,22.5
0,-5.84869e-08,-87.8638,25.3125
0,-5.31138e-08,-87.8638,28.125
0,-4.92843e-08,-87.8638,30.9375
0,-4.45944e-08,-87.8638,33.75
0,-4.80072e-08,-87.8638,36.5625
0,-3.98075e-08,-87.8638,39.375
0,-3.65056e-08,-87.8638,42.1875
0,-3.96263e-08,-87.8638,45
0,-2.97581e-08,-87.8638,47.8125
0,-2.3118e-08,-87.8638,50.625
0,-1.51334e-08,-87.8638,53.4375
0,-1.20777e-08,-87.8638,56.25
0,-3.51887e-09,-87.8638,59.0625
0,9.07138e-09,-87.8638,61.875
0,2.4805e-08,-87.8638,64.6875
0,2.7473e-08,-87.8638,67.5
0,3.60579e-08,-87.8638,70.3125
0,4.35388e-08,-87.8638,73.125
0,5.17458e-08,-87.8638,75.9375
0,5.40305e-08,-87.8638,78.75
0,5.78191e-08,-87.8638,81.5625
0,6.64554e-08,-87.8638,84.375
0,6.30054e-08,-87.8638,87.1875
0,5.83193e-08,-87.8638,90
0,5.93592e-08,-87.8638,92.8125
0,5.79393e-08,-87.8638,95.625
0,4.61177e-08,-87.8638,98.4375
0,4.87135e-08,-87.8638,101.25
0,3.78745e-08,-87.8638,104.062
0,2.15957e-08,-87.8638,106.875
0,1.49401e-08,-87.8638,109.688
0,1.90209e-08,-87.8638,112.5
0,1.30529e-08,-87.8638,115.312
0,7.74573e-09,-87.8638,118.125
0,8.62821e-10,-87.8638,120.938
0,-9.56232e-11,-87.8638,123.75
0,-1.16302e-08,-87.8638,126.562
0,-1.88761e-08,-87.8638,129.375
0,-1.88092e-08,-87.8638,132.188
0,-2.04239e-08,-87.8638,135
0,-2.9801e-08,-87.8638,137.812
0,-3.57708e-08,-87.8638,140.625
0,-3.49356e-08,-87.8638,143.438
0,-4.43017e-08,-87.8638,146.25
0,-4.62439e-08,-87.8638,149.062
0,-5.06613e-08,-87.8638,151.875
0,-5.67749e-08,-87.8638,154.688
0,-5.71285e-08,-87.8638,157.5
0,-6.88914e-08,-87.8638,160.312
0,-7.83614e-08,-87.8638,163.125
0,-8.54535e-08,-87.8638,165.938
0,-9.47176e-08,-87.8638,168.75
0,-1.04289e-07,-87.8638,171.562
0,-1.13691e-07,-87.8638,174.375
0,-1.32801e-07,-87.8638,177.188
0,-1.44733e-07,-87.8638,180
0,-1.6049e-07,-87.8638,182.812
0,-1.77435e-07,-87.8638,185.625
0,-1.89813e-07,-87.8638,188.438
0,-2.00758e-07,-87.8638,191.25
0,-2.14825e-07,-87.8638,194.062
0,-2.26592e-07,-87.8638,196.875
0,-2.25126e-07,-87.8638,199.688
0,-2.16784e-07,-87.8638,202.5
0,-2.1357e-07,-87.8638,205.312
0,-1.98813e-07,-87.8638,208.125
0,-1.83973e-07,-87.8638,210.938
0,-1.73831e-07,-87.8638,213.75
0,-1.65632e-07,-87.8638,216.562
0,-1.5837e-07,-87.8638,219.375
0,-1.55566e-07,-87.8638,222.188
0,-1.55424e-07,-87.8638,225
0,-1.48675e-07,-87.8638,227.812
0,-1.44721e-07,-87.8638,230.625
0,-1.42602e-07,-87.8638,233.438
0,-1.42061e-07,-87.8638,236.25
0,-1.39096e-07,-87.8638,239.062
0,-1.4273e-07,-87.8638,241.875
0,-1.44693e-07,-87.8638,244.688
0,-1.47762e-07,-87.8638,247.5
0,-1.44327e-07,-87.8638,250.312
0,-1.45363e-07,-87.8638,253.125
0,-1.45912e-07,-87.8638,255.938
0,-1.52743e-07,-87.8638,258.75
0,-1.55738e-07,-87.8638,261.562
0,-1.52868e-07,-87.8638,264.375
0,-1.50555e-07,-87.8638,267.188
0,-1.48757e-07,-87.8638,270
0,-1.37445e-07,-87.8638,272.812
0,-1.25809e-07,-87.8638,275.625
0,-1.18128e-07,-87.8638,278.438
0,-1.1951e-07,-87.8638,281.25
0,-1.14823e-07,-87.8638,284.062
0,-1.10856e-07,-87.8638,286.875
0,-1.06037e-07,-87.8638,289.688
0,-1.02316e-07,-87.8638,292.5
0,-9.69264e-08,-87.8638,295.312
0,-9.36299e-08,-87.8638,298.125
0,-9.1934e-08,-87.8638,300.938
0,-8.59641e-08,-87.8638,303.75
0,-7.95134e-08,-87.8638,306.562
0,-7.87421e-08,-87.8638,309.375
0,-7.08949e-08,-87.8638,312.188
0,-6.29698e-08,-87.8638,315
0,-5.60007e-08,-87.8638,317.812
0,-5.2454e-08,-87.8638,320.625
0,-4.385e-08,-87.8638,323.438
0,-3.43143e-08,-87.8638,326.25
0,-3.79263e-08,-87.8638,329.062
0,-3.77306e-08,-87.8638,331.875
0,-3.31613e-08,-87.8638,334.688
0,-3.13368e-08,-87.8638,337.5
0,-2.76856e-08,-87.8638,340.312
0,-2.94198e-08,-87.8638,343.125
0,-3.32036e-08,-87.8638,345.938
0,-3.6815e-08,-87.8638,348.75
0,-4.58826e-08,-87.8638,351.562
0,-5.31604e-08,-87.8638,354.375
0,-1.4196e-07,87.8638,357.188
0,-1.23012e-07,87.8638,0
0,-1.29858e-07,87.8638,2.8125
0,-1.33448e-07,87.8638,5.625
0,-1.31507e-07,87.8638,8.4375
0,-1.19816e-07,87.8638,11.25
0,-1.19425e-07,87.8638,14.0625
0,-1.28835e-07,87.8638,16.875
0,-1.39218e-07,87.8638,19.6875
0,-1.43559e-07,87.8638,22.5
0,-1.56405e-07,87.8638,25.3125
0,-1.68579e-07,87.8638,28.125
0,-1.77263e-07,87.8638,30.9375
0,-1.9288e-07,87.8638,33.75
0,-1.97624e-07,87.8638,36.5625
0,-1.96281e-07,87.8638,39.375
0,-2.08044e-07,87.8638,42.1875
0,-2.26777e-07,87.8638,45
0,-2.37905e-07,87.8638,47.8125
0,-2.21407e-07,87.8638,50.625
0,-2.11256e-07,87.8638,53.4375
0,-2.04119e-07,87.8638,56.25
0,-1.97597e-07,87.8638,59.0625
0,-1.90193e-07,87.8638,61.875
0,-1.68708e-07,87.8638,64.6875
0,-1.62003e-07,87.8638,67.5
0,-1.57206e-07,87.8638,70.3125
0,-1.44653e-07,87.8638,73.125
0,-1.32883e-07,87.8638,75.9375
0,-1.20559e-07,87.8638,78.75
0,-9.66124e-08,87.8638,81.5625
0,-8.8198e-08,87.8638,84.375
0,-8.3798e-08,87.8638,87.1875
0,-8.20485e-08,87.8638,90
0,-8.06988e-08,87.8638,92.8125
0,-7.25298e-08,87.8638,95.625
0,-7.04063e-08,87.8638,98.4375
0,-7.25641e-08,87.8638,101.25
0,-7.15115e-08,87.8638,104.062
0,-6.25601e-08,87.8638,106.875
0,-5.86659e-08,87.8638,109.688
0,-6.25168e-08,87.8638,112.5
0,-7.22054e-08,87.8638,115.312
0,-7.42189e-08,87.8638,118.125
0,-8.03108e-08,87.8638,120.938
0,-7.96056e-08,87.8638,123.75
0,-7.25705e-08,87.8638,126.562
0,-7.2249e-08,87.8638,129.375
0,-7.37622e-08,87.8638,132.188
0,-7.50663e-08,87.8638,135
0,-7.44073e-08,87.8638,137.812
0,-6.62849e-08,87.8638,140.625
0,-6.52852e-08,87.8638,143.438
0,-5.998e-08,87.8638,146.25
0,-6.46108e-08,87.8638,149.062
0,-5.72777e-08,87.8638,151.875
0,-5.38785e-08,87.8638,154.688
0,-4.937e-08,87.8638,157.5
0,-4.62639e-08,87.8638,160.312
0,-4.58427e-08,87.8638,163.125
0,-3.76701e-08,87.8638,165.938
0,-3.68158e-08,87.8638,168.75
0,-3.03794e-08,87.8638,171.562
0,-1.0063e-08,87.8638,174.375
0,-5.14606e-09,87.8638,177.188
0,1.78523e-09,87.8638,180
0,2.95241e-09,87.8638,182.812
0,7.87066e-09,87.8638,185.625
0,1.32617e-08,87.8638,188.438
0,2.58164e-08,87.8638,191.25
0,2.73356e-08,87.8638,194.062
0,2.61553e-08,87.8638,196.875
0,2.62189e-08,87.8638,199.688
0,2.51646e-08,87.8638,202.5
0,2.41548e-08,87.8638,205.312
0,1.39935e-08,87.8638,208.125
0,7.14451e-09,87.8638,210.938
0,7.80491e-09,87.8638,213.75
0,1.52689e-09,87.8638,216.562
0,-3.03504e-08,87.8638,219.375
0,-4.53899e-08,87.8638,222.188
0,-6.24697e-08,87.8638,225
0,-8.53457e-08,87.8638,227.812
0,-8.7596e-08,87.8638,230.625
0,-9.61517e-08,87.8638,233.438
0,-1.12248e-07,87.8638,236.25
0,-1.29269e-07,87.8638,239.062
0,-1.21269e-07,87.8638,241.875
0,-1.13593e-07,87.8638,244.688
0,-1.18309e-07,87.8638,247.5
0,-1.17401e-07,87.8638,250.312
0,-1.14181e-07,87.8638,253.125
0,-9.68993e-08,87.8638,255.938
0,-8.30701e-08,87.8638,258.75
0,-6.32252e-08,87.8638,261.562
0,-5.13627e-08,87.8638,264.375
0,-4.41466e-08,87.8638,267.188
0,-3.52524e-08,87.8638,270
0,-2.96737e-08,87.8638,272.812
0,-2.74786e-08,87.8638,275.625
0,-2.2474e-08,87.8638,278.438
0,-1.92973e-08,87.8638,281.25
0,-1.36269e-08,87.8638,284.062
0,-1.29104e-08,87.8638,286.875
0,-2.18116e-08,87.8638,289.688
0,-3.80118e-08,87.8638,292.5
0,-4.59097e-08,87.8638,295.312
0,-4.90573e-08,87.8638,298.125
0,-5.95446e-08,87.8638,300.938
0,-7.45182e-08,87.8638,303.75
0,-9.50089e-08,87.8638,306.562
0,-1.17686e-07,87.8638,309.375
0,-1.30923e-07,87.8638,312.188
0,-1.47332e-07,87.8638,315
0,-1.62637e-07,87.8638,317.812
0,-1.78296e-07,87.8638,320.625
0,-2.02049e-07,87.8638,323.438
0,-1.9526e-07,87.8638,326.25
0,-1.9755e-07,87.8638,329.062
0,-1.98805e-07,87.8638,331.875
0,-2.11251e-07,87.8638,334.688
0,-2.09282e-07,87.8638,337.5
0,-1.95479e-07,87.8638,340.312
0,-1.81763e-07,87.8638,343.125
0,-1.72211e-07,87.8638,345.938
0,-1.60259e-07,87.8638,348.75
0,-1.64334e-07,87.8638,351.562
0,-1.52751e-07,87.8638,354.375
0,-5.20912e-08,85.0965,357.188
0,-6.97107e-08,85.0965,0
0,-9.6393e-08,85.0965,2.8125
0,-1.24007e-07,85.0965,5.625
0,-1.27057e-07,85.0965,8.4375
0,-1.29732e-07,85.0965,11.25
0,-1.32974e-07,85.0965,14.0625
0,-1.46004e-07,85.0965,16.875
0,-1.37067e-07,85.0965,19.6875
0,-1.36626e-07,85.0965,22.5
0,-1.54979e-07,85.0965,25.3125
0,-1.42701e-07,85.0965,28.125
0,-1.34055e-07,85.0965,30.9375
0,-1.35852e-07,85.0965,33.75
0,-1.29808e-07,85.0965,36.5625
0,-1.23315e-07,85.0965,39.375
0,-1.25115e-07,85.0965,42.1875
0,-1.21718e-07,85.0965,45
0,-1.3961e-07,85.0965,47.8125
0,-1.41638e-07,85.0965,50.625
0,-1.48437e-07,85.0965,53.4375
0,-1.60592e-07,85.0965,56.25
0,-1.72613e-07,85.0965,59.0625
0,-1.74775e-07,85.0965,61.875
0,-1.81339e-07,85.0965,64.6875
0,-1.73597e-07,85.0965,67.5
0,-1.63356e-07,85.0965,70.3125
0,-1.49559e-07,85.0965,73.125
0,-1.41268e-07,85.0965,75.9375
0,-1.22389e-07,85.0965,78.75
0,-1.20477e-07,85.0965,81.5625
0,-1.25569e-07,85.0965,84.375
0,-1.27253e-07,85.0965,87.1875
0,-1.12916e-07,85.0965,90
0,-1.1473e-07,85.0965,92.8125
0,-1.03184e-07,85.0965,95.625
0,-9.67464e-08,85.0965,98.4375
0,-8.59259e-08,85.0965,101.25
0,-8.21017e-08,85.0965,104.062
0,-6.39578e-08,85.0965,106.875
0,-4.31386e-08,85.0965,109.688
0,-2.92783e-08,85.0965,112.5
0,-3.09852e-08,85.0965,115.312
0,-3.54018e-08,85.0965,118.125
0,-4.01092e-08,85.0965,120.938
0,-5.45854e-08,85.0965,123.75
0,-7.62281e-08,85.0965,126.562
0,-9.06447e-08,85.0965,129.375
0,-9.52899e-08,85.0965,132.188
0,-1.06618e-07,85.0965,135
0,-9.11263e-08,85.0965,137.812
0,-7.61825e-08,85.0965,140.625
0,-6.18921e-08,85.0965,143.438
0,-6.01407e-08,85.0965,146.25
0,-4.7062e-08,85.0965,149.062
0,-4.30335e-08,85.0965,151.875
0,-4.90538e-08,85.0965,154.688
0,-5.4186e-08,85.0965,157.5
0,-5.07379e-08,85.0965,160.312
0,-4.01133e-08,85.0965,163.125
0,-3.72883e-08,85.0965,165.938
0,-3.07031e-08,85.0965,168.75
0,-2.10756e-08,85.0965,171.562
0,-2.17807e-08,85.0965,174.375
0,-1.90005e-08,85.0965,177.188
0,-2.68453e-08,85.0965,180
0,-3.48143e-08,85.0965,182.812
0,-5.47739e-08,85.0965,185.625
0,-7.38614e-08,85.0965,188.438
0,-8.80515e-08,85.0965,191.25
0,-8.51627e-08,85.0965,194.062
0,-8.31336e-08,85.0965,196.875
0,-8.65654e-08,85.0965,199.688
0,-8.33302e-08,85.0965,202.5
0,-7.48053e-08,85.0965,205.312
0,-6.94364e-08,85.0965,208.125
0,-7.54538e-08,85.0965,210.938
0,-7.93342e-08,85.0965,213.75
0,-8.36447e-08,85.0965,216.562
0,-1.01612e-07,85.0965,219.375
0,-1.1408e-07,85.0965,222.188
0,-1.2262e-07,85.0965,225
0,-1.21468e-07,85.0965,227.812
0,-1.23439e-07,85.0965,230.625
0,-1.25188e-07,85.0965,233.438
0,-1.10825e-07,85.0965,236.25
0,-9.3119e-08,85.0965,239.062
0,-7.80826e-08,85.0965,241.875
0,-6.97589e-08,85.0965,244.688
0,-6.5304e-08,85.0965,247.5
0,-7.13913e-08,85.0965,250.312
0,-7.69558e-08,85.0965,253.125
0,-8.14867e-08,85.0965,255.938
0,-8.13825e-08,85.0965,258.75
0,-6.41653e-08,85.0965,261.562
0,-6.3297e-08,85.0965,264.375
0,-4.60291e-08,85.0965,267.188
0,-1.44297e-08,85.0965,270
0,6.80483e-10,85.0965,272.812
0,2.58917e-08,85.0965,275.625
0,4.55128e-08,85.0965,278.438
0,6.90862e-08,85.0965,281.25
0,1.00154e-07,85.0965,284.062
0,1.12579e-07,85.0965,286.875
0,1.25538e-07,85.0965,289.688
0,1.28123e-07,85.0965,292.5
0,1.18444e-07,85.0965,295.312
0,1.07315e-07,85.0965,298.125
0,9.79035e-08,85.0965,300.938
0,1.03982e-07,85.0965,303.75
0,1.18731e-07,85.0965,306.562
0,1.23308e-07,85.0965,309.375
0,1.21941e-07,85.0965,312.188
0,1.16297e-07,85.0965,315
0,8.89369e-08,85.0965,317.812
0,6.83172e-08,85.0965,320.625
0,5.74052e-08,85.0965,323.438
0,4.54899e-08,85.0965,326.25
0,3.68319e-08,85.0965,329.062
0,3.54571e-08,85.0965,331.875
0,9.05504e-09,85.0965,334.688
0,1.39131e-09,85.0965,337.5
0,1.0713e-08,85.0965,340.312
0,7.12902e-10,85.0965,343.125
0,3.11463e-09,85.0965,345.938
0,-3.33561e-09,85.0965,348.75
0,-1.52191e-08,85.0965,351.562
0,-3.69577e-08,85.0965,354.375
0,-4.8606e-08,82.3129,357.188
0,-9.46996e-08,82.3129,0
0,-1.47793e-07,82.3129,2.8125
0,-1.64354e-07,82.3129,5.625
0,-1.43304e-07,82.3129,8.4375
0,-1.45137e-07,82.3129,11.25
0,-1.77425e-07,82.3129,14.0625
0,-1.85458e-07,82.3129,16.875
0,-2.17116e-07,82.3129,19.6875
0,-2.37779e-07,82.3129,22.5
0,-2.67978e-07,82.3129,25.3125
0,-2.85251e-07,82.3129,28.125
0,-2.63646e-07,82.3129,30.9375
0,-2.35746e-07,82.3129,33.75
0,-2.19675e-07,82.3129,36.5625
0,-2.07821e-07,82.3129,39.375
0,-2.2957e-07,82.3129,42.1875
0,-2.63296e-07,82.3129,45
0,-2.93082e-07,82.3129,47.8125
0,-3.25136e-07,82.3129,50.625
0,-2.79088e-07,82.3129,53.4375
0,-2.72829e-07,82.3129,56.25
0,-2.16851e-07,82.3129,59.0625
0,-1.93864e-07,82.3129,61.875
0,-2.47125e-07,82.3129,64.6875
0,-3.16158e-07,82.3129,67.5
0,-3.9254e-07,82.3129,70.3125
0,-4.57701e-07,82.3129,73.125
0,-4.34583e-07,82.3129,75.9375
0,-4.16429e-07,82.3129,78.75
0,-3.36224e-07,82.3129,81.5625
0,-2.83568e-07,82.3129,84.375
0,-2.5196e-07,82.3129,87.1875
0,-2.54225e-07,82.3129,90
0,-2.56274e-07,82.3129,92.8125
0,-2.73389e-07,82.3129,95.625
0,-2.092e-07,82.3129,98.4375
0,-1.45194e-07,82.3129,101.25
0,-9.31324e-08,82.3129,104.062
0,-4.56925e-08,82.3129,106.875
0,-3.80477e-08,82.3129,109.688
0,-2.1187e-08,82.3129,112.5
0,-1.41013e-08,82.3129,115.312
0,-5.10894e-09,82.3129,118.125
0,2.66075e-08,82.3129,120.938
0,4.35236e-08,82.3129,123.75
0,4.08139e-08,82.3129,126.562
0,6.17134e-08,82.3129,129.375
0,3.74278e-08,82.3129,132.188
0,2.34778e-08,82.3129,135
0,3.49996e-08,82.3129,137.812
0,3.511e-08,82.3129,140.625
0,6.34663e-08,82.3129,143.438
0,8.86472e-08,82.3129,146.25
0,8.64918e-08,82.3129,149.062
0,9.19136e-08,82.3129,151.875
0,8.59739e-08,82.3129,154.688
0,7.84142e-08,82.3129,157.5
0,7.03781e-08,82.3129,160.312
0,7.1101e-08,82.3129,163.125
0,7.14736e-08,82.3129,165.938
0,7.83826e-08,82.3129,168.75
0,4.99384e-08,82.3129,171.562
0,2.29929e-08,82.3129,174.375
0,-9.16714e-09,82.3129,177.188
0,-4.77174e-08,82.3129,180
0,-5.64769e-08,82.3129,182.812
0,-4.13228e-08,82.3129,185.625
0,-3.25302e-08,82.3129,188.438
0,-3.95623e-08,82.3129,191.25
0,-5.11009e-08,82.3129,194.062
0,-6.00771e-08,82.3129,196.875
0,-6.31099e-08,82.3129,199.688
0,-6.95122e-08,82.3129,202.5
0,-6.52684e-08,82.3129,205.312
0,-6.14215e-08,82.3129,208.125
0,-4.74198e-08,82.3129,210.938
0,-4.83866e-08,82.3129,213.75
0,-3.64164e-08,82.3129,216.562
0,-2.9951e-08,82.3129,219.375
0,-2.89826e-08,82.3129,222.188
0,-4.07788e-08,82.3129,225
0,-4.00637e-08,82.3129,227.812
0,-6.30309e-08,82.3129,230.625
0,-7.42166e-08,82.3129,233.438
0,-8.70724e-08,82.3129,236.25
0,-8.16763e-08,82.3129,239.062
0,-9.05601e-08,82.3129,241.875
0,-9.90934e-08,82.3129,244.688
0,-1.0867e-07,82.3129,247.5
0,-1.06088e-07,82.3129,250.312
0,-1.07351e-07,82.3129,253.125
0,-1.08279e-07,82.3129,255.938
0,-1.13579e-07,82.3129,258.75
0,-8.38485e-08,82.3129,261.562
0,-8.55629e-08,82.3129,264.375
0,-1.04962e-07,82.3129,267.188
0,-1.18324e-07,82.3129,270
0,-2.56765e-07,82.3129,272.812
0,-3.45057e-07,82.3129,275.625
0,-3.89179e-07,82.3129,278.438
0,-4.11361e-07,82.3129,281.25
0,-3.66522e-07,82.3129,284.062
0,-3.08248e-07,82.3129,286.875
0,-2.29076e-07,82.3129,289.688
0,-1.70702e-07,82.3129,292.5
0,-1.27024e-07,82.3129,295.312
0,-2.21579e-07,82.3129,298.125
0,-1.76511e-07,82.3129,300.938
0,-2.04218e-07,82.3129,303.75
0,-3.02596e-07,82.3129,306.562
0,-3.05277e-07,82.3129,309.375
0,-3.70386e-07,82.3129,312.188
0,-4.18519e-07,82.3129,315
0,-4.6992e-07,82.3129,317.812
0,-5.19401e-07,82.3129,320.625
0,-5.41434e-07,82.3129,323.438
0,-5.35466e-07,82.3129,326.25
0,-4.70421e-07,82.3129,329.062
0,-3.95399e-07,82.3129,331.875
0,-2.88086e-07,82.3129,334.688
0,2.06471e-09,82.3129,337.5
0,-3.51811e-08,82.3129,340.312
0,7.09316e-08,82.3129,343.125
0,9.27237e-08,82.3129,345.938
0,5.91842e-08,82.3129,348.75
0,3.13026e-08,82.3129,351.562
0,1.85875e-08,82.3129,354.375
0,-1.44341e-07,79.5256,357.188
0,-3.43179e-07,79.5256,0
0,-7.94859e-07,79.5256,2.8125
0,-1.05288e-06,79.5256,5.625
0,-9.24302e-07,79.5256,8.4375
0,-6.03528e-07,79.5256,11.25
0,-5.36435e-07,79.5256,14.0625
0,-5.87316e-07,79.5256,16.875
0,-4.28329e-07,79.5256,19.6875
0,-3.8145e-07,79.5256,22.5
0,-1.15961e-08,79.5256,25.3125
0,4.78043e-08,79.5256,28.125
0,-2.33324e-07,79.5256,30.9375
0,-3.22102e-07,79.5256,33.75
0,-4.18569e-07,79.5256,36.5625
0,-5.16248e-07,79.5256,39.375
0,-6.49314e-07,79.5256,42.1875
0,-8.73252e-07,79.5256,45
0,-1.05621e-06,79.5256,47.8125
0,-1.07409e-06,79.5256,50.625
0,-8.30365e-07,79.5256,53.4375
0,-5.37627e-07,79.5256,56.25
0,-3.93327e-07,79.5256,59.0625
0,-3.73391e-07,79.5256,61.875
0,-3.66292e-07,79.5256,64.6875
0,-3.69005e-07,79.5256,67.5
0,-3.98646e-07,79.5256,70.3125
0,-3.73894e-07,79.5256,73.125
0,-3.42719e-07,79.5256,75.9375
0,-2.27476e-07,79.5256,78.75
0,-1.12048e-07,79.5256,81.5625
0,-2.9646e-08,79.5256,84.375
0,4.88479e-09,79.5256,87.1875
0,2.70916e-09,79.5256,90
0,8.06739e-08,79.5256,92.8125
0,-2.94063e-08,79.5256,95.625
