,coef,lat,lon
0,0.281878,-87.8638,357.188
0,0.240024,-87.8638,0
0,0.203296,-87.8638,2.8125
0,0.21539,-87.8638,5.625
0,0.214459,-87.8638,8.4375
0,0.176842,-87.8638,11.25
0,0.171043,-87.8638,14.0625
0,0.142466,-87.8638,16.875
0,0.163984,-87.8638,19.6875
0,0.192907,-87.8638,22.5
0,0.199941,-87.8638,25.3125
0,0.2379,-87.8638,28.125
0,0.265615,-87.8638,30.9375
0,0.309586,-87.8638,33.75
0,0.259475,-87.8638,36.5625
0,0.333743,-87.8638,39.375
0,0.371687,-87.8638,42.1875
0,0.328309,-87.8638,45
0,0.46844,-87.8638,47.8125
0,0.60347,-87.8638,50.625
0,0.771528,-87.8638,53.4375
0,0.818666,-87.8638,56.25
0,0.958437,-87.8638,59.0625
0,0.918171,-87.8638,61.875
0,0.825832,-87.8638,64.6875
0,0.809352,-87.8638,67.5
0,0.794295,-87.8638,70.3125
0,0.783888,-87.8638,73.125
0,0.768731,-87.8638,75.9375
0,0.759917,-87.8638,78.75
0,0.756374,-87.8638,81.5625
0,0.7271,-87.8638,84.375
0,0.73672,-87.8638,87.1875
0,0.755348,-87.8638,90
0,0.736045,-87.8638,92.8125
0,0.72027,-87.8638,95.625
0,0.746148,-87.8638,98.4375
0,0.730733,-87.8638,101.25
0,0.755706,-87.8638,104.062
0,0.834944,-87.8638,106.875
0,0.864179,-87.8638,109.688
0,0.826813,-87.8638,112.5
0,0.859003,-87.8638,115.312
0,0.902155,-87.8638,118.125
0,0.987421,-87.8638,120.938
0,0.998597,-87.8638,123.75
0,0.807711,-87.8638,126.562
0,0.671536,-87.8638,129.375
0,0.660724,-87.8638,132.188
0,0.640329,-87.8638,135
0,0.498651,-87.8638,137.812
0,0.429458,-87.8638,140.625
0,0.442842,-87.8638,143.438
0,0.34801,-87.8638,146.25
0,0.345841,-87.8638,149.062
0,0.322665,-87.8638,151.875
0,0.274015,-87.8638,154.688
0,0.271978,-87.8638,157.5
0,0.188495,-87.8638,160.312
0,0.143786,-87.8638,163.125
0,0.120993,-87.8638,165.938
0,0.0932309,-87.8638,168.75
0,0.0756344,-87.8638,171.562
0,0.0582431,-87.8638,174.375
0,0.0358269,-87.8638,177.188
0,0.0268317,-87.8638,180
0,0.0218019,-87.8638,182.812
0,0.0152246,-87.8638,185.625
0,0.0139227,-87.8638,188.438
0,0.0169713,-87.8638,191.25
0,0.0495028,-87.8638,194.062
0,0.0440284,-87.8638,196.875
0,0.0339616,-87.8638,199.688
0,0.0433382,-87.8638,202.5
0,0.0272169,-87.8638,205.312
0,0.0156405,-87.8638,208.125
0,0.0154335,-87.8638,210.938
0,0.0180546,-87.8638,213.75
0,0.0209104,-87.8638,216.562
0,0.0246613,-87.8638,219.375
0,0.0255463,-87.8638,222.188
0,0.0265412,-87.8638,225
0,0.0295295,-87.8638,227.812
0,0.0313513,-87.8638,230.625
0,0.0315586,-87.8638,233.438
0,0.0315679,-87.8638,236.25
0,0.0370105,-87.8638,239.062
0,0.0309208,-87.8638,241.875
0,0.0274922,-87.8638,244.688
0,0.0280404,-87.8638,247.5
0,0.0321461,-87.8638,250.312
0,0.0334008,-87.8638,253.125
0,0.0368019,-87.8638,255.938
0,0.0285805,-87.8638,258.75
0,0.0263493,-87.8638,261.562
0,0.028709,-87.8638,264.375
0,0.0317612,-87.8638,267.188
0,0.0356544,-87.8638,270
0,0.0538832,-87.8638,272.812
0,0.0814844,-87.8638,275.625
0,0.105354,-87.8638,278.438
0,0.106637,-87.8638,281.25
0,0.123844,-87.8638,284.062
0,0.1437,-87.8638,286.875
0,0.166423,-87.8638,289.688
0,0.185749,-87.8638,292.5
0,0.212743,-87.8638,295.312
0,0.228577,-87.8638,298.125
0,0.23372,-87.8638,300.938
0,0.260628,-87.8638,303.75
0,0.294301,-87.8638,306.562
0,0.290248,-87.8638,309.375
0,0.327861,-87.8638,312.188
0,0.369821,-87.8638,315
0,0.411326,-87.8638,317.812
0,0.425662,-87.8638,320.625
0,0.495263,-87.8638,323.438
0,0.582613,-87.8638,326.25
0,0.53164,-87.8638,329.062
0,0.523951,-87.8638,331.875
0,0.565739,-87.8638,334.688
0,0.575663,-87.8638,337.5
0,0.613992,-87.8638,340.312
0,0.582917,-87.8638,343.125
0,0.525256,-87.8638,345.938
0,0.473568,-87.8638,348.75
0,0.369366,-87.8638,351.562
0,0.292075,-87.8638,354.375
0,0.41487,87.8638,357.188
0,0.474757,87.8638,0
0,0.454829,87.8638,2.8125
0,0.445872,87.8638,5.625
0,0.455981,87.8638,8.4375
0,0.50129,87.8638,11.25
0,0.506606,87.8638,14.0625
0,0.481752,87.8638,16.875
0,0.451979,87.8638,19.6875
0,0.446357,87.8638,22.5
0,0.419443,87.8638,25.3125
0,0.398248,87.8638,28.125
0,0.389045,87.8638,30.9375
0,0.366348,87.8638,33.75
0,0.368472,87.8638,36.5625
0,0.380371,87.8638,39.375
0,0.36535,87.8638,42.1875
0,0.340135,87.8638,45
0,0.336915,87.8638,47.8125
0,0.365846,87.8638,50.625
0,0.387583,87.8638,53.4375
0,0.406919,87.8638,56.25
0,0.42708,87.8638,59.0625
0,0.442044,87.8638,61.875
0,0.487479,87.8638,64.6875
0,0.502121,87.8638,67.5
0,0.509959,87.8638,70.3125
0,0.54203,87.8638,73.125
0,0.572674,87.8638,75.9375
0,0.606066,87.8638,78.75
0,0.677856,87.8638,81.5625
0,0.702886,87.8638,84.375
0,0.716784,87.8638,87.1875
0,0.72087,87.8638,90
0,0.726018,87.8638,92.8125
0,0.753274,87.8638,95.625
0,0.760352,87.8638,98.4375
0,0.753714,87.8638,101.25
0,0.756817,87.8638,104.062
0,0.785818,87.8638,106.875
0,0.797468,87.8638,109.688
0,0.785614,87.8638,112.5
0,0.752089,87.8638,115.312
0,0.743327,87.8638,118.125
0,0.721066,87.8638,120.938
0,0.721782,87.8638,123.75
0,0.741836,87.8638,126.562
0,0.740942,87.8638,129.375
0,0.734302,87.8638,132.188
0,0.729394,87.8638,135
0,0.728982,87.8638,137.812
0,0.755286,87.8638,140.625
0,0.757321,87.8638,143.438
0,0.774253,87.8638,146.25
0,0.756185,87.8638,149.062
0,0.780719,87.8638,151.875
0,0.791901,87.8638,154.688
0,0.806628,87.8638,157.5
0,0.816183,87.8638,160.312
0,0.816318,87.8638,163.125
0,0.846145,87.8638,165.938
0,0.848323,87.8638,168.75
0,0.870857,87.8638,171.562
0,0.95599,87.8638,174.375
0,0.977072,87.8638,177.188
0,0.992009,87.8638,180
0,0.986693,87.8638,182.812
0,0.963926,87.8638,185.625
0,0.938196,87.8638,188.438
0,0.877459,87.8638,191.25
0,0.869842,87.8638,194.062
0,0.874727,87.8638,196.875
0,0.873182,87.8638,199.688
0,0.876826,87.8638,202.5
0,0.879996,87.8638,205.312
0,0.930614,87.8638,208.125
0,0.964657,87.8638,210.938
0,0.961196,87.8638,213.75
0,0.99235,87.8638,216.562
0,0.852726,87.8638,219.375
0,0.78511,87.8638,222.188
0,0.714078,87.8638,225
0,0.62659,87.8638,227.812
0,0.618125,87.8638,230.625
0,0.590192,87.8638,233.438
0,0.54007,87.8638,236.25
0,0.497039,87.8638,239.062
0,0.514956,87.8638,241.875
0,0.5278,87.8638,244.688
0,0.504262,87.8638,247.5
0,0.504017,87.8638,250.312
0,0.509186,87.8638,253.125
0,0.556652,87.8638,255.938
0,0.600185,87.8638,258.75
0,0.673977,87.8638,261.562
0,0.726008,87.8638,264.375
0,0.760703,87.8638,267.188
