,coef,lat,lon
0,1.01744e-08,-87.8638,357.188
0,1.36762e-08,-87.8638,0
0,1.52439e-08,-87.8638,2.8125
0,8.75379e-09,-87.8638,5.625
0,3.57016e-09,-87.8638,8.4375
0,2.44424e-09,-87.8638,11.25
0,-1.00574e-10,-87.8638,14.0625
0,7.07924e-09,-87.8638,16.875
0,4.60086e-09,-87.8638,19.6875
0,2.40444e-09,-87.8638,22.5
0,6.65128e-09,-87.8638,25.3125
0,1.12723e-08,-87.8638,28.125
0,1.53262e-08,-87.8638,30.9375
0,1.56707e-08,-87.8638,33.75
0,2.63391e-08,-87.8638,36.5625
0,2.7192e-08,-87.8638,39.375
0,3.38536e-08,-87.8638,42.1875
0,3.98018e-08,-87.8638,45
0,4.02345e-08,-87.8638,47.8125
0,4.59039e-08,-87.8638,50.625
0,5.34531e-08,-87.8638,53.4375
0,5.11853e-08,-87.8638,56.25
0,6.21534e-08,-87.8638,59.0625
0,7.31178e-08,-87.8638,61.875
0,8.20647e-08,-87.8638,64.6875
0,7.29556e-08,-87.8638,67.5
0,8.82576e-08,-87.8638,70.3125
0,9.87832e-08,-87.8638,73.125
0,1.04981e-07,-87.8638,75.9375
0,1.00688e-07,-87.8638,78.75
0,1.12179e-07,-87.8638,81.5625
0,1.09679e-07,-87.8638,84.375
0,1.10764e-07,-87.8638,87.1875
0,1.16727e-07,-87.8638,90
0,1.04147e-07,-87.8638,92.8125
0,9.12847e-08,-87.8638,95.625
0,8.35231e-08,-87.8638,98.4375
0,8.09767e-08,-87.8638,101.25
0,6.84695e-08,-87.8638,104.062
0,6.32544e-08,-87.8638,106.875
0,4.98738e-08,-87.8638,109.688
0,4.44165e-08,-87.8638,112.5
0,3.00771e-08,-87.8638,115.312
0,1.82269e-08,-87.8638,118.125
0,8.44783e-09,-87.8638,120.938
0,4.36581e-09,-87.8638,123.75
0,1.28693e-09,-87.8638,126.562
0,-2.98592e-09,-87.8638,129.375
0,-1.44689e-08,-87.8638,132.188
0,-1.33354e-08,-87.8638,135
0,-1.45339e-08,-87.8638,137.812
0,-1.52017e-08,-87.8638,140.625
0,-2.38388e-08,-87.8638,143.438
0,-1.69786e-08,-87.8638,146.25
0,-1.94592e-08,-87.8638,149.062
0,-1.84273e-08,-87.8638,151.875
0,-1.87861e-08,-87.8638,154.688
0,-2.50686e-08,-87.8638,157.5
0,-2.35341e-08,-87.8638,160.312
0,-2.22858e-08,-87.8638,163.125
0,-1.90941e-08,-87.8638,165.938
0,-2.13936e-08,-87.8638,168.75
0,-2.17492e-08,-87.8638,171.562
0,-3.56842e-08,-87.8638,174.375
0,-3.77447e-08,-87.8638,177.188
0,-4.76299e-08,-87.8638,180
0,-6.41789e-08,-87.8638,182.812
0,-8.39951e-08,-87.8638,185.625
0,-1.1018e-07,-87.8638,188.438
0,-1.49245e-07,-87.8638,191.25
0,-2.07524e-07,-87.8638,194.062
0,-2.12142e-07,-87.8638,196.875
0,-2.0754e-07,-87.8638,199.688
0,-2.23068e-07,-87.8638,202.5
0,-2.08918e-07,-87.8638,205.312
0,-1.80799e-07,-87.8638,208.125
0,-1.54058e-07,-87.8638,210.938
0,-1.41713e-07,-87.8638,213.75
0,-1.25676e-07,-87.8638,216.562
0,-1.1077e-07,-87.8638,219.375
0,-9.04734e-08,-87.8638,222.188
0,-7.55288e-08,-87.8638,225
0,-5.91381e-08,-87.8638,227.812
0,-4.89039e-08,-87.8638,230.625
0,-4.40427e-08,-87.8638,233.438
0,-3.87519e-08,-87.8638,236.25
0,-4.14239e-08,-87.8638,239.062
0,-2.63073e-08,-87.8638,241.875
0,-1.78917e-08,-87.8638,244.688
0,-1.02393e-08,-87.8638,247.5
0,-1.00094e-08,-87.8638,250.312
0,-1.19364e-08,-87.8638,253.125
0,-1.70576e-08,-87.8638,255.938
0,-1.16144e-08,-87.8638,258.75
0,-6.86791e-09,-87.8638,261.562
0,-8.89118e-09,-87.8638,264.375
0,-1.17225e-08,-87.8638,267.188
0,-1.52864e-08,-87.8638,270
0,-2.01677e-08,-87.8638,272.812
0,-2.66621e-08,-87.8638,275.625
0,-2.8369e-08,-87.8638,278.438
0,-2.25266e-08,-87.8638,281.25
0,-1.89908e-08,-87.8638,284.062
0,-2.05562e-08,-87.8638,286.875
