,coef,lat,lon
0,0.36783,76.7369,2.8125
0,0.355554,76.7369,5.625
0,0.262875,73.9475,357.188
0,0.284145,73.9475,0
0,0.280784,73.9475,2.8125
0,0.236665,73.9475,5.625
0,0.261505,73.9475,8.4375
0,0.310701,73.9475,11.25
0,0.311306,73.9475,14.0625
0,0.321588,73.9475,16.875
0,0.314569,73.9475,19.6875
0,0.246464,73.9475,351.562
0,0.251514,73.9475,354.375
0,0.333273,71.1578,357.188
0,0.326714,71.1578,0
0,0.306595,71.1578,2.8125
0,0.287563,71.1578,5.625
0,0.30157,71.1578,8.4375
0,0.325892,71.1578,11.25
0,0.338221,71.1578,14.0625
0,0.32736,71.1578,16.875
0,0.223861,71.1578,345.938
0,0.255265,71.1578,348.75
0,0.296119,71.1578,351.562
0,0.306305,71.1578,354.375
0,0.373404,68.3678,357.188
0,0.333475,68.3678,0
0,0.325629,68.3678,2.8125
0,0.307961,68.3678,5.625
0,0.311338,68.3678,8.4375
0,0.672258,68.3678,303.75
0,0.254507,68.3678,340.312
0,0.318371,68.3678,343.125
0,0.295224,68.3678,345.938
0,0.236846,68.3678,348.75
0,0.279651,68.3678,351.562
0,0.381631,68.3678,354.375
0,0.315576,65.5776,357.188
0,0.356683,65.5776,0
0,0.281206,65.5776,2.8125
0,0.330125,65.5776,5.625
0,0.47686,65.5776,8.4375
0,0.669374,65.5776,300.938
0,0.433976,65.5776,303.75
0,0.271103,65.5776,348.75
0,0.211159,65.5776,351.562
0,0.232736,65.5776,354.375
0,0.195931,62.7874,357.188
0,0.218734,62.7874,0
0,0.302981,62.7874,2.8125
0,0.0715796,62.7874,182.812
0,0.0399136,62.7874,185.625
0,0.0834044,62.7874,191.25
0,0.421229,62.7874,298.125
0,0.447907,62.7874,300.938
0,0.414311,62.7874,303.75
0,0.385481,62.7874,306.562
0,0.56051,62.7874,323.438
0,0.442012,62.7874,326.25
0,0.302744,62.7874,329.062
0,0.288586,62.7874,331.875
0,0.1986,62.7874,334.688
0,0.192042,62.7874,337.5
0,0.166797,62.7874,343.125
0,0.150796,62.7874,345.938
0,0.143106,62.7874,348.75
0,0.126473,62.7874,354.375
0,0.160188,59.997,0
0,0.258333,59.997,2.8125
0,0.125987,59.997,174.375
0,0.140479,59.997,177.188
0,0.128485,59.997,180
0,0.164164,59.997,182.812
0,0.247084,59.997,185.625
0,0.171399,59.997,188.438
0,0.505122,59.997,300.938
0,0.410522,59.997,303.75
0,0.429321,59.997,306.562
0,0.451598,59.997,309.375
0,0.640907,59.997,320.625
0,0.520178,59.997,323.438
0,0.439557,59.997,326.25
0,0.548238,59.997,329.062
0,0.503602,59.997,331.875
0,0.443159,59.997,334.688
0,0.392978,59.997,337.5
0,0.25725,59.997,340.312
0,0.17639,59.997,343.125
0,0.124162,59.997,345.938
0,0.0786334,59.997,348.75
0,0.0910742,59.997,351.562
0,0.15977,57.2066,2.8125
0,0.200917,57.2066,143.438
0,0.0794803,57.2066,146.25
0,0.0614154,57.2066,149.062
0,0.0560972,57.2066,151.875
0,0.0804254,57.2066,154.688
0,0.35047,57.2066,165.938
0,0.525312,57.2066,168.75
0,0.571467,57.2066,171.562
0,0.494784,57.2066,174.375
0,0.456375,57.2066,177.188
0,0.380383,57.2066,180
0,0.295124,57.2066,182.812
0,0.235976,57.2066,185.625
0,0.11575,57.2066,188.438
0,0.138592,57.2066,191.25
0,0.194036,57.2066,194.062
0,0.204081,57.2066,196.875
0,0.366307,57.2066,210.938
0,0.372521,57.2066,213.75
0,0.360521,57.2066,216.562
0,0.379836,57.2066,219.375
0,0.561885,57.2066,222.188
